M_S,p_value
7.00,1.90000e-06
7.25,2.03500e-04
7.50,1.37930e-03
7.75,7.02610e-03
8.00,2.81041e-02
8.25,7.67572e-02
8.50,1.24067e-01
8.75,2.01419e-01
