M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.506498,5.877656,7.827327,11.260654,16.193712,22.994988
7.25,3.220515,4.897061,6.642600,9.609014,13.983962,19.932714
7.50,3.116172,3.676746,5.037585,7.289014,10.820899,15.780608
7.75,3.151426,2.727774,3.852533,5.705124,8.665289,12.927901
8.00,3.156269,2.295736,3.238306,4.885116,7.601625,11.538169
8.25,3.233763,1.876428,2.695342,4.147979,6.598527,10.244317
8.50,3.452028,1.394243,2.063438,3.297443,5.463919,8.802701
8.75,3.609079,1.152802,1.750290,2.876660,4.909599,8.106180
