M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,23.82014,0.06333128,0.4054,0.3762
7.25,23.82014,0.06333128,0.4054,0.3762
7.5,16.00509,0.04419287,0.17848,0.053588
7.75,9.69698,0.0288721,0.1413,0.1245
8.0,6.349396,0.01457998,0.09139,0.06912
8.25,3.69787,0.009189414,0.064,0.05503
8.5,2.326574,0.003389366,0.019276,0.0034669
8.75,1.297142,0.001981562,0.007659,0.001276
