M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,46.3667,0.08363334,6.274,1.053
7.25,30.01202,0.028717,4.4016,0.82909
7.5,19.25157,0.03249714,2.3771,0.53337
7.75,12.05347,0.01978083,1.2785,0.29871
8.0,7.478784,0.006734914,0.7316,0.2447
8.25,4.554533,0.003898137,0.4092,0.1041
8.5,2.718445,0.001617335,0.21334,0.084535
8.75,1.588635,0.001783748,0.09549,0.02625
