0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
1.53296e-05 ± 2.10103e-07,1.53296e-05 ± 2.10103e-07,1.53296e-05 ± 2.10103e-07,1.53296e-05 ± 2.10103e-07,8.175e-06 ± 1.052e-06,4.0356e-06 ± 1.6978e-07,2.2888e-06 ± 1.2208e-07,7.461e-07 ± 1.037e-07,1.4374e-07 ± 4.0116e-08,3.108e-08 ± 1.735e-08,BKG:ff_HW
1.41210e-05 ± 2.83643e-07,1.41210e-05 ± 2.83643e-07,1.41210e-05 ± 2.83643e-07,1.41210e-05 ± 2.83643e-07,7.5728e-06 ± 8.5878e-07,3.86200e-06 ± 8.55360e-08,2.2305e-06 ± 1.2005e-07,7.6495e-07 ± 3.6935e-08,1.5062e-07 ± 1.3904e-08,3.387e-08 ± 1.589e-08,BKG:ff_HZ
1.14854e+00 ± 6.73583e-02,1.14854e+00 ± 6.73583e-02,1.14854e+00 ± 6.73583e-02,1.14854e+00 ± 6.73583e-02,1.2864e-01 ± 7.6420e-02,1.711e-03 ± 3.827e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff
1.6663e+00 ± 1.3544e-01,1.6663e+00 ± 1.3544e-01,1.6663e+00 ± 1.3544e-01,1.6663e+00 ± 1.3544e-01,1.533e-01 ± 1.029e-01,1.596e-02 ± 1.949e-02,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff2
6.0176e-02 ± 1.2984e-03,6.0176e-02 ± 1.2984e-03,6.0176e-02 ± 1.2984e-03,6.0176e-02 ± 1.2984e-03,4.3057e-02 ± 3.2409e-03,2.65701e-02 ± 7.66752e-04,1.70451e-02 ± 4.95972e-04,6.5948e-03 ± 4.2056e-04,1.3511e-03 ± 1.1109e-04,2.0257e-04 ± 1.8422e-05,BKG:ff_WW_bkg
1.73174e-03 ± 6.67063e-05,1.73174e-03 ± 6.67063e-05,1.73174e-03 ± 6.67063e-05,1.73174e-03 ± 6.67063e-05,6.821e-04 ± 1.393e-04,2.4216e-04 ± 3.2575e-05,1.0654e-04 ± 2.0161e-05,2.2244e-05 ± 8.5011e-06,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_ZW_bkg
1.60401e-03 ± 4.82258e-05,1.60401e-03 ± 4.82258e-05,1.60401e-03 ± 4.82258e-05,1.60401e-03 ± 4.82258e-05,9.6007e-04 ± 9.6536e-05,5.1534e-04 ± 2.8829e-05,3.0058e-04 ± 1.0044e-05,9.924e-05 ± 1.087e-05,1.3216e-05 ± 3.6611e-06,1.4945e-06 ± 5.4549e-07,BKG:ff_gmZgmZ_bkg
5.9723e-03 ± 1.9130e-04,5.9723e-03 ± 1.9130e-04,5.9723e-03 ± 1.9130e-04,5.9723e-03 ± 1.9130e-04,3.7524e-03 ± 4.5543e-04,2.1424e-03 ± 1.8613e-04,1.3587e-03 ± 1.2484e-04,4.9138e-04 ± 2.3723e-05,1.1742e-04 ± 3.3236e-05,2.3970e-05 ± 8.4565e-06,BKG:ffbar_Wgm
3.9199e-03 ± 6.4007e-04,3.9199e-03 ± 6.4007e-04,3.9199e-03 ± 6.4007e-04,3.9199e-03 ± 6.4007e-04,1.646e-03 ± 1.011e-03,4.220e-04 ± 3.340e-04,8.41e-05 ± 1.15e-04,4.190e-05 ± 9.369e-05,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_Hg
5.17109e-04 ± 5.43464e-06,5.17109e-04 ± 5.43464e-06,5.17109e-04 ± 5.43464e-06,5.17109e-04 ± 5.43464e-06,2.9753e-04 ± 4.0349e-05,1.33171e-04 ± 4.17829e-06,6.4023e-05 ± 2.3525e-06,1.13836e-05 ± 6.25504e-07,7.163e-07 ± 1.154e-07,3.121e-08 ± 4.274e-08,BKG:gg_Httbar
1.8235e-02 ± 1.4093e-03,1.8235e-02 ± 1.4093e-03,1.8235e-02 ± 1.4093e-03,1.8235e-02 ± 1.4093e-03,6.261e-03 ± 1.897e-03,2.1377e-03 ± 3.4786e-04,1.0690e-03 ± 1.7371e-04,2.300e-04 ± 2.100e-04,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_bbbar
1.2870e-02 ± 5.1391e-03,1.2870e-02 ± 5.1391e-03,1.2870e-02 ± 5.1391e-03,1.2870e-02 ± 5.1391e-03,1.521e-03 ± 2.083e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_ccbar
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_gg
1.10263e-06 ± 4.64653e-08,1.10263e-06 ± 4.64653e-08,1.10263e-06 ± 4.64653e-08,1.10263e-06 ± 4.64653e-08,4.064e-07 ± 1.072e-07,1.3001e-07 ± 1.8675e-08,5.3658e-08 ± 9.0411e-09,8.316e-09 ± 3.174e-09,1.515e-09 ± 2.074e-09,0.000e+00 ± 0.000e+00,BKG:gg_hbb_hadronic
4.042e-02 ± 2.808e-02,4.042e-02 ± 2.808e-02,4.042e-02 ± 2.808e-02,4.042e-02 ± 2.808e-02,6.68e-03 ± 1.49e-02,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_qqbar
7.53157e-03 ± 9.35080e-05,7.53157e-03 ± 9.35080e-05,7.53157e-03 ± 9.35080e-05,7.53157e-03 ± 9.35080e-05,2.3770e-03 ± 7.2022e-04,5.6636e-04 ± 5.5867e-05,2.1438e-04 ± 2.8076e-05,3.2372e-05 ± 4.5361e-06,1.010e-06 ± 2.259e-06,1.010e-06 ± 2.259e-06,BKG:gg_ttbar_bkg_hadronic
3.0340e-08 ± 2.3779e-09,3.0340e-08 ± 2.3779e-09,3.0340e-08 ± 2.3779e-09,3.0340e-08 ± 2.3779e-09,1.0043e-08 ± 3.1096e-09,2.9395e-09 ± 1.8632e-10,1.1891e-09 ± 2.1589e-10,1.646e-10 ± 1.154e-10,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_Hq
5.406e-02 ± 1.666e-02,5.406e-02 ± 1.666e-02,5.406e-02 ± 1.666e-02,5.406e-02 ± 1.666e-02,1.2492e-02 ± 5.1066e-03,3.409e-03 ± 2.381e-03,1.698e-03 ± 1.550e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_Hq_loop
3.4988e-01 ± 5.2005e-02,3.4988e-01 ± 5.2005e-02,3.4988e-01 ± 5.2005e-02,3.4988e-01 ± 5.2005e-02,1.6502e-01 ± 2.4225e-02,8.423e-02 ± 1.692e-02,5.476e-02 ± 1.745e-02,9.59e-03 ± 1.04e-02,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_Wj_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_qg
6.27603e-04 ± 5.16368e-06,6.27603e-04 ± 5.16368e-06,6.27603e-04 ± 5.16368e-06,6.27603e-04 ± 5.16368e-06,3.9940e-04 ± 4.3405e-05,2.03089e-04 ± 5.79552e-06,1.05648e-04 ± 2.54858e-06,2.7321e-05 ± 1.7561e-06,4.3836e-06 ± 4.6635e-07,8.167e-07 ± 2.155e-07,BKG:qq_Httbar
3.62301e-07 ± 4.56995e-09,3.62301e-07 ± 4.56995e-09,3.62301e-07 ± 4.56995e-09,3.62301e-07 ± 4.56995e-09,2.3592e-07 ± 2.5257e-08,1.18493e-07 ± 2.11748e-09,5.9185e-08 ± 2.0504e-09,1.3865e-08 ± 1.0628e-09,1.8561e-09 ± 2.6050e-10,3.4288e-10 ± 8.3747e-11,BKG:qq_hbb_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qq_qq
8.3661e-03 ± 1.7821e-04,8.3661e-03 ± 1.7821e-04,8.3661e-03 ± 1.7821e-04,8.3661e-03 ± 1.7821e-04,3.5327e-03 ± 7.0377e-04,1.21139e-03 ± 8.17540e-05,5.1858e-04 ± 4.7693e-05,8.034e-05 ± 1.938e-05,4.384e-06 ± 4.579e-06,0.000e+00 ± 0.000e+00,BKG:qq_ttbar_bkg_hadronic
