0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
7.1613e-02 ± 7.0699e-03,7.1613e-02 ± 7.0699e-03,7.1613e-02 ± 7.0699e-03,3.997e-02 ± 1.532e-02,1.8282e-02 ± 6.9780e-03,5.218e-03 ± 1.955e-03,1.740e-03 ± 1.892e-03,2.880e-04 ± 6.440e-04,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_bbbar
6.102e-02 ± 4.235e-02,6.102e-02 ± 4.235e-02,6.102e-02 ± 4.235e-02,3.326e-02 ± 3.990e-02,1.111e-02 ± 1.814e-02,2.783e-03 ± 6.223e-03,2.783e-03 ± 6.223e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_ccbar
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_gg
4.2137e-06 ± 4.8010e-07,4.2137e-06 ± 4.8010e-07,4.2137e-06 ± 4.8010e-07,2.4321e-06 ± 6.6711e-07,1.3953e-06 ± 2.4648e-07,4.7461e-07 ± 9.8794e-08,1.8477e-07 ± 5.9787e-08,3.978e-08 ± 1.556e-08,5.694e-09 ± 7.797e-09,2.842e-09 ± 6.354e-09,BKG:gg_hbb_hadronic
2.423e-01 ± 1.205e-01,2.423e-01 ± 1.205e-01,2.423e-01 ± 1.205e-01,9.68e-02 ± 1.58e-01,2.425e-02 ± 5.423e-02,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_qqbar
3.0681e-02 ± 1.0318e-03,3.0681e-02 ± 1.0318e-03,3.0681e-02 ± 1.0318e-03,1.5844e-02 ± 7.4122e-03,7.6268e-03 ± 3.8511e-04,2.1231e-03 ± 2.1857e-04,6.315e-04 ± 1.526e-04,9.250e-05 ± 5.076e-05,2.016e-05 ± 2.476e-05,4.017e-06 ± 8.982e-06,BKG:gg_ttbar_bkg_hadronic
1.10430e-07 ± 5.50919e-09,1.10430e-07 ± 5.50919e-09,1.10430e-07 ± 5.50919e-09,6.073e-08 ± 3.033e-08,3.0855e-08 ± 2.2489e-09,9.543e-09 ± 1.324e-09,3.7552e-09 ± 9.8016e-10,2.542e-10 ± 1.421e-10,6.40e-11 ± 1.43e-10,0.000e+00 ± 0.000e+00,BKG:qg_Hq
1.7500e-01 ± 4.4948e-02,1.7500e-01 ± 4.4948e-02,1.7500e-01 ± 4.4948e-02,7.670e-02 ± 2.763e-02,2.880e-02 ± 2.264e-02,8.61e-03 ± 1.28e-02,1.434e-03 ± 3.206e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_Hq_loop
9.3997e-01 ± 5.6489e-02,9.3997e-01 ± 5.6489e-02,9.3997e-01 ± 5.6489e-02,6.548e-01 ± 1.398e-01,4.5021e-01 ± 6.1531e-02,2.4521e-01 ± 4.7759e-02,1.2258e-01 ± 2.9270e-02,2.991e-02 ± 1.403e-02,2.520e-03 ± 5.636e-03,0.000e+00 ± 0.000e+00,BKG:qg_Wj_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_qg
2.29657e-03 ± 2.59068e-05,2.29657e-03 ± 2.59068e-05,2.29657e-03 ± 2.59068e-05,1.7930e-03 ± 2.8801e-04,1.35419e-03 ± 1.55522e-05,7.1225e-04 ± 1.5411e-05,3.77952e-04 ± 9.31186e-06,1.03934e-04 ± 5.73288e-06,1.6624e-05 ± 2.5078e-06,2.9102e-06 ± 9.7174e-07,BKG:qq_Httbar
1.34075e-06 ± 1.16600e-08,1.34075e-06 ± 1.16600e-08,1.34075e-06 ± 1.16600e-08,1.0611e-06 ± 1.5230e-07,8.20175e-07 ± 5.54800e-09,4.2689e-07 ± 1.2593e-08,2.14482e-07 ± 7.80540e-09,4.7148e-08 ± 3.0284e-09,6.365e-09 ± 1.391e-09,1.1025e-09 ± 1.9315e-10,BKG:qq_hbb_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qq_qq
3.17972e-02 ± 7.79952e-04,3.17972e-02 ± 7.79952e-04,3.17972e-02 ± 7.79952e-04,1.9191e-02 ± 6.6199e-03,1.12199e-02 ± 1.14664e-04,4.2170e-03 ± 2.5481e-04,1.7449e-03 ± 1.2077e-04,3.461e-04 ± 1.042e-04,2.812e-05 ± 2.278e-05,4.000e-06 ± 8.943e-06,BKG:qq_ttbar_bkg_hadronic
1.6297e+00 ± 1.1475e-01,1.6297e+00 ± 1.1475e-01,1.6297e+00 ± 1.1475e-01,1.2490e+00 ± 2.1858e-01,9.8100e-01 ± 5.3801e-02,5.5821e-01 ± 7.1858e-02,3.3991e-01 ± 4.5452e-02,1.2467e-01 ± 4.6955e-02,3.178e-02 ± 1.330e-02,8.422e-03 ± 6.093e-03,BKG:qqbar_Wj_hadronic
7.92297e-02 ± 8.10908e-04,7.92297e-02 ± 8.10908e-04,7.92297e-02 ± 8.10908e-04,4.883e-02 ± 1.656e-02,2.83910e-02 ± 6.55736e-04,1.02025e-02 ± 5.76447e-04,4.3110e-03 ± 4.4297e-04,6.830e-04 ± 2.004e-04,5.187e-05 ± 1.944e-05,8.66e-06 ± 1.94e-05,BKG:qqbar_bbbar
5.99968e-02 ± 7.70418e-04,5.99968e-02 ± 7.70418e-04,5.99968e-02 ± 7.70418e-04,3.427e-02 ± 1.369e-02,1.88067e-02 ± 5.26016e-04,6.3124e-03 ± 5.8912e-04,2.3415e-03 ± 4.5144e-04,3.559e-04 ± 1.832e-04,1.734e-05 ± 2.374e-05,0.000e+00 ± 0.000e+00,BKG:qqbar_ccbar
4.1454e+00 ± 9.0507e-01,4.1454e+00 ± 9.0507e-01,4.1454e+00 ± 9.0507e-01,3.203e+00 ± 1.424e+00,2.075e+00 ± 1.089e+00,1.0395e+00 ± 7.8088e-01,5.649e-01 ± 5.134e-01,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qqbar_gg
1.34553e-01 ± 3.40796e-03,1.34553e-01 ± 3.40796e-03,1.34553e-01 ± 3.40796e-03,7.004e-02 ± 3.446e-02,3.3888e-02 ± 1.6710e-03,1.01386e-02 ± 8.24994e-04,3.8573e-03 ± 7.6977e-04,5.455e-04 ± 4.200e-04,2.633e-05 ± 5.888e-05,0.000e+00 ± 0.000e+00,BKG:qqbar_qqbarNew
1.8331357e+01 ± 5.9627998e-03,1.8331357e+01 ± 5.9627998e-03,1.8331357e+01 ± 5.9627998e-03,1.830226e+01 ± 1.462763e-02,1.825783e+01 ± 1.123885e-02,1.802448e+01 ± 2.786823e-02,1.759945e+01 ± 1.096154e-02,1.600509e+01 ± 4.419287e-02,1.124188e+01 ± 3.331570e-02,5.68110e+00 ± 6.95116e-02,SIG:Suu
1.5029e+01 ± 1.2509e+00,1.5029e+01 ± 1.2509e+00,1.5029e+01 ± 1.2509e+00,8.004e+00 ± 4.640e+00,4.273e+00 ± 1.142e+00,2.0181e+00 ± 7.9454e-01,1.1162e+00 ± 5.0510e-01,1.7848e-01 ± 5.3588e-02,3.897e-02 ± 1.333e-02,9.302e-03 ± 6.146e-03,BKG:sum
1.2268e+00 ± 1.0593e-01,1.2268e+00 ± 1.0593e-01,1.2268e+00 ± 1.0593e-01,2.7303e+00 ± 9.8533e-01,4.572e+00 ± 1.431e+00,1.0023e+01 ± 3.4921e+00,1.906e+01 ± 1.024e+01,9.682e+01 ± 3.047e+01,3.277e+02 ± 1.514e+02,1.706e+03 ± 2.510e+03,S/B
