0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
6.18223e-05 ± 7.65271e-07,6.18223e-05 ± 7.65271e-07,6.18223e-05 ± 7.65271e-07,4.332e-05 ± 1.078e-05,3.03408e-05 ± 9.62135e-07,1.64236e-05 ± 8.24784e-07,9.3763e-06 ± 3.6185e-07,3.4632e-06 ± 1.3341e-07,6.4629e-07 ± 5.7994e-08,5.584e-08 ± 3.561e-08,BKG:ff_HW
5.11999e-05 ± 8.57546e-07,5.11999e-05 ± 8.57546e-07,5.11999e-05 ± 8.57546e-07,3.5462e-05 ± 9.6213e-06,2.50293e-05 ± 9.02187e-07,1.35913e-05 ± 5.26367e-07,8.0364e-06 ± 2.7674e-07,2.7577e-06 ± 2.4684e-07,5.8677e-07 ± 8.8268e-08,1.3110e-07 ± 5.1391e-08,BKG:ff_HZ
3.0367e+00 ± 3.0158e-01,3.0367e+00 ± 3.0158e-01,3.0367e+00 ± 3.0158e-01,1.012e+00 ± 1.189e+00,2.1385e-01 ± 4.5160e-02,7.90e-03 ± 1.08e-02,3.936e-03 ± 8.800e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff
4.1429e+00 ± 6.1893e-01,4.1429e+00 ± 6.1893e-01,4.1429e+00 ± 6.1893e-01,1.252e+00 ± 1.385e+00,2.130e-01 ± 1.412e-01,2.377e-02 ± 3.555e-02,7.96e-03 ± 1.78e-02,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff2
1.970986e-01 ± 6.003548e-04,1.970986e-01 ± 6.003548e-04,1.970986e-01 ± 6.003548e-04,1.6280e-01 ± 1.9475e-02,1.32821e-01 ± 1.20513e-03,8.2055e-02 ± 1.4505e-03,5.1228e-02 ± 1.2449e-03,1.9540e-02 ± 1.2693e-03,4.0918e-03 ± 4.4160e-04,7.462e-04 ± 2.608e-04,BKG:ff_WW_bkg
7.1573e-03 ± 5.8605e-04,7.1573e-03 ± 5.8605e-04,7.1573e-03 ± 5.8605e-04,4.201e-03 ± 1.496e-03,2.5029e-03 ± 3.2091e-04,9.600e-04 ± 1.812e-04,4.409e-04 ± 1.123e-04,1.0186e-04 ± 2.7550e-05,6.765e-06 ± 9.264e-06,0.000e+00 ± 0.000e+00,BKG:ff_ZW_bkg
5.56318e-03 ± 4.54129e-05,5.56318e-03 ± 4.54129e-05,5.56318e-03 ± 4.54129e-05,4.1438e-03 ± 7.8611e-04,3.05978e-03 ± 4.80027e-05,1.70375e-03 ± 3.83726e-05,1.02782e-03 ± 5.94553e-05,3.5783e-04 ± 1.6189e-05,5.500e-05 ± 1.206e-05,5.930e-06 ± 4.840e-06,BKG:ff_gmZgmZ_bkg
2.0657e-02 ± 1.0871e-03,2.0657e-02 ± 1.0871e-03,2.0657e-02 ± 1.0871e-03,1.6272e-02 ± 3.2268e-03,1.26249e-02 ± 6.36074e-04,7.1692e-03 ± 4.6861e-04,4.3379e-03 ± 3.5819e-04,1.4328e-03 ± 2.7065e-04,3.564e-04 ± 1.093e-04,1.0761e-04 ± 2.2528e-05,BKG:ffbar_Wgm
1.3404e-02 ± 4.0601e-03,1.3404e-02 ± 4.0601e-03,1.3404e-02 ± 4.0601e-03,7.303e-03 ± 2.487e-03,4.199e-03 ± 1.895e-03,8.114e-04 ± 5.656e-04,4.049e-04 ± 3.696e-04,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_Hg
2.01615e-03 ± 2.94173e-05,2.01615e-03 ± 2.94173e-05,2.01615e-03 ± 2.94173e-05,1.4853e-03 ± 2.6998e-04,1.06020e-03 ± 1.80758e-05,4.89793e-04 ± 9.11248e-06,2.35847e-04 ± 4.79702e-06,4.5399e-05 ± 3.1059e-06,3.471e-06 ± 1.054e-06,2.937e-07 ± 3.597e-07,BKG:gg_Httbar
