0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
3.11570e-06 ± 3.99418e-08,3.11570e-06 ± 3.99418e-08,3.11570e-06 ± 3.99418e-08,3.11570e-06 ± 3.99418e-08,1.91994e-06 ± 5.17441e-08,8.9230e-07 ± 2.3919e-08,5.3476e-07 ± 2.2510e-08,1.8488e-07 ± 2.7366e-08,3.8776e-08 ± 6.0360e-09,4.952e-09 ± 3.334e-09,BKG:ff_HW
3.18469e-06 ± 8.94542e-08,3.18469e-06 ± 8.94542e-08,3.18469e-06 ± 8.94542e-08,3.18469e-06 ± 8.94542e-08,1.99214e-06 ± 7.32750e-08,9.4555e-07 ± 3.6389e-08,5.7049e-07 ± 4.4215e-08,2.0973e-07 ± 2.5251e-08,5.1679e-08 ± 9.9737e-09,1.2589e-08 ± 4.7123e-09,BKG:ff_HZ
4.6689e-01 ± 6.6022e-02,4.6689e-01 ± 6.6022e-02,4.6689e-01 ± 6.6022e-02,4.6689e-01 ± 6.6022e-02,6.947e-02 ± 2.798e-02,1.387e-03 ± 3.102e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff
6.063e-01 ± 1.017e-01,6.063e-01 ± 1.017e-01,6.063e-01 ± 1.017e-01,6.063e-01 ± 1.017e-01,7.179e-02 ± 1.717e-02,6.013e-03 ± 8.515e-03,1.207e-03 ± 2.699e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff2
1.66478e-02 ± 2.37036e-04,1.66478e-02 ± 2.37036e-04,1.66478e-02 ± 2.37036e-04,1.66478e-02 ± 2.37036e-04,1.32151e-02 ± 2.05633e-04,7.7341e-03 ± 2.6449e-04,5.1396e-03 ± 1.4070e-04,2.00737e-03 ± 7.38753e-05,4.4931e-04 ± 3.1147e-05,5.665e-05 ± 1.818e-05,BKG:ff_WW_bkg
4.0667e-04 ± 3.2435e-05,4.0667e-04 ± 3.2435e-05,4.0667e-04 ± 3.2435e-05,4.0667e-04 ± 3.2435e-05,1.9783e-04 ± 1.0365e-05,6.0504e-05 ± 7.7821e-06,3.2852e-05 ± 3.6437e-06,7.772e-06 ± 2.551e-06,1.301e-06 ± 1.411e-06,0.000e+00 ± 0.000e+00,BKG:ff_ZW_bkg
4.1897e-04 ± 1.3982e-05,4.1897e-04 ± 1.3982e-05,4.1897e-04 ± 1.3982e-05,4.1897e-04 ± 1.3982e-05,2.8681e-04 ± 1.3028e-05,1.51008e-04 ± 9.74715e-06,9.3969e-05 ± 4.8814e-06,3.4942e-05 ± 2.9986e-06,6.819e-06 ± 1.535e-06,1.3778e-06 ± 4.1766e-07,BKG:ff_gmZgmZ_bkg
1.56655e-03 ± 5.63632e-05,1.56655e-03 ± 5.63632e-05,1.56655e-03 ± 5.63632e-05,1.56655e-03 ± 5.63632e-05,1.16801e-03 ± 4.15092e-05,6.1738e-04 ± 2.0385e-05,4.0419e-04 ± 2.5738e-05,1.55116e-04 ± 9.59168e-06,4.476e-05 ± 1.071e-05,8.205e-06 ± 4.791e-06,BKG:ffbar_Wgm
9.031e-04 ± 2.431e-04,9.031e-04 ± 2.431e-04,9.031e-04 ± 2.431e-04,9.031e-04 ± 2.431e-04,2.288e-04 ± 1.366e-04,4.810e-05 ± 5.014e-05,3.604e-05 ± 5.360e-05,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_Hg
1.27854e-04 ± 1.28027e-06,1.27854e-04 ± 1.28027e-06,1.27854e-04 ± 1.28027e-06,1.27854e-04 ± 1.28027e-06,8.43509e-05 ± 8.87265e-07,3.3159e-05 ± 1.8256e-06,1.60502e-05 ± 6.57060e-07,2.9265e-06 ± 2.1209e-07,2.3550e-07 ± 3.4401e-08,2.705e-08 ± 2.203e-08,BKG:gg_Httbar
4.2577e-03 ± 2.2322e-04,4.2577e-03 ± 2.2322e-04,4.2577e-03 ± 2.2322e-04,4.2577e-03 ± 2.2322e-04,1.8841e-03 ± 3.3712e-04,5.269e-04 ± 3.534e-04,2.633e-04 ± 1.385e-04,7.49e-05 ± 1.22e-04,1.873e-05 ± 4.187e-05,0.000e+00 ± 0.000e+00,BKG:gg_bbbar
3.051e-03 ± 2.067e-03,3.051e-03 ± 2.067e-03,3.051e-03 ± 2.067e-03,3.051e-03 ± 2.067e-03,1.144e-03 ± 1.245e-03,3.816e-04 ± 5.225e-04,3.816e-04 ± 5.225e-04,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_ccbar
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_gg
