0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
2.7767e-07 ± 1.1648e-08,2.7767e-07 ± 1.1648e-08,2.7767e-07 ± 1.1648e-08,2.7767e-07 ± 1.1648e-08,1.26803e-07 ± 9.24670e-09,3.1091e-08 ± 6.0114e-09,1.2508e-08 ± 2.2451e-09,2.273e-09 ± 1.430e-09,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_hbb_hadronic
5.165e-03 ± 4.715e-03,5.165e-03 ± 4.715e-03,5.165e-03 ± 4.715e-03,5.165e-03 ± 4.715e-03,3.452e-03 ± 4.727e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_qqbar
1.59727e-03 ± 7.08969e-05,1.59727e-03 ± 7.08969e-05,1.59727e-03 ± 7.08969e-05,1.59727e-03 ± 7.08969e-05,6.2877e-04 ± 3.4284e-05,1.4526e-04 ± 2.2246e-05,5.4581e-05 ± 5.6754e-06,7.697e-06 ± 1.069e-06,7.22e-07 ± 1.08e-06,4.803e-07 ± 6.576e-07,BKG:gg_ttbar_bkg_hadronic
7.6895e-09 ± 5.2554e-10,7.6895e-09 ± 5.2554e-10,7.6895e-09 ± 5.2554e-10,7.6895e-09 ± 5.2554e-10,3.2011e-09 ± 2.5522e-10,8.680e-10 ± 1.325e-10,3.9367e-10 ± 3.5492e-11,5.509e-11 ± 3.236e-11,8.41e-12 ± 1.15e-11,0.000e+00 ± 0.000e+00,BKG:qg_Hq
1.5257e-02 ± 3.7637e-03,1.5257e-02 ± 3.7637e-03,1.5257e-02 ± 3.7637e-03,1.5257e-02 ± 3.7637e-03,6.684e-03 ± 2.369e-03,1.253e-03 ± 1.356e-03,6.286e-04 ± 5.738e-04,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_Hq_loop
9.9942e-02 ± 9.4939e-03,9.9942e-02 ± 9.4939e-03,9.9942e-02 ± 9.4939e-03,9.9942e-02 ± 9.4939e-03,5.6977e-02 ± 8.7395e-03,2.6224e-02 ± 7.4289e-03,1.5092e-02 ± 5.5715e-03,4.844e-03 ± 1.919e-03,8.48e-04 ± 1.26e-03,2.820e-04 ± 6.305e-04,BKG:qg_Wj_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_qg
1.53340e-04 ± 2.03041e-06,1.53340e-04 ± 2.03041e-06,1.53340e-04 ± 2.03041e-06,1.53340e-04 ± 2.03041e-06,1.09848e-04 ± 1.92532e-06,5.0428e-05 ± 1.6148e-06,2.69244e-05 ± 5.01099e-07,7.3897e-06 ± 2.1152e-07,1.1294e-06 ± 1.7413e-07,2.0403e-07 ± 9.7453e-08,BKG:qq_Httbar
8.80116e-08 ± 5.02185e-10,8.80116e-08 ± 5.02185e-10,8.80116e-08 ± 5.02185e-10,8.80116e-08 ± 5.02185e-10,6.37057e-08 ± 8.31997e-10,2.90382e-08 ± 9.40104e-10,1.48431e-08 ± 3.12454e-10,3.2926e-09 ± 3.1331e-10,4.3796e-10 ± 9.9211e-11,4.142e-11 ± 1.529e-11,BKG:qq_hbb_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qq_qq
2.04038e-03 ± 6.14726e-05,2.04038e-03 ± 6.14726e-05,2.04038e-03 ± 6.14726e-05,2.04038e-03 ± 6.14726e-05,1.08578e-03 ± 2.56254e-05,3.4371e-04 ± 1.4772e-05,1.4885e-04 ± 2.5330e-05,2.4548e-05 ± 9.3235e-06,1.127e-06 ± 1.173e-06,2.799e-07 ± 6.258e-07,BKG:qq_ttbar_bkg_hadronic
1.25465e-01 ± 4.83354e-03,1.25465e-01 ± 4.83354e-03,1.25465e-01 ± 4.83354e-03,1.25465e-01 ± 4.83354e-03,9.3846e-02 ± 3.7072e-03,5.2385e-02 ± 4.8813e-03,3.3155e-02 ± 3.4204e-03,1.1967e-02 ± 1.8436e-03,3.4609e-03 ± 5.7470e-04,4.330e-04 ± 1.649e-04,BKG:qqbar_Wj_hadronic
5.0063e-03 ± 1.1363e-04,5.0063e-03 ± 1.1363e-04,5.0063e-03 ± 1.1363e-04,5.0063e-03 ± 1.1363e-04,2.74991e-03 ± 9.62244e-05,8.5880e-04 ± 9.2336e-05,3.8343e-04 ± 6.8276e-05,7.255e-05 ± 2.305e-05,4.229e-06 ± 5.059e-06,0.000e+00 ± 0.000e+00,BKG:qqbar_bbbar
3.77319e-03 ± 2.86202e-05,3.77319e-03 ± 2.86202e-05,3.77319e-03 ± 2.86202e-05,3.77319e-03 ± 2.86202e-05,1.84939e-03 ± 9.24363e-05,5.2016e-04 ± 6.9992e-05,2.2166e-04 ± 1.9605e-05,3.3228e-05 ± 7.4579e-06,2.417e-06 ± 2.524e-06,0.000e+00 ± 0.000e+00,BKG:qqbar_ccbar
3.493e-01 ± 1.467e-01,3.493e-01 ± 1.467e-01,3.493e-01 ± 1.467e-01,3.493e-01 ± 1.467e-01,2.181e-01 ± 1.272e-01,6.569e-02 ± 4.600e-02,3.264e-02 ± 4.864e-02,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qqbar_gg
7.8039e-03 ± 2.8822e-04,7.8039e-03 ± 2.8822e-04,7.8039e-03 ± 2.8822e-04,7.8039e-03 ± 2.8822e-04,3.27283e-03 ± 9.72326e-05,7.4473e-04 ± 4.9821e-05,2.7078e-04 ± 4.3114e-05,3.629e-05 ± 1.091e-05,1.797e-06 ± 4.018e-06,0.000e+00 ± 0.000e+00,BKG:qqbar_qqbarNew
2.628442e+00 ± 7.222382e-04,2.628442e+00 ± 7.222382e-04,2.628442e+00 ± 7.222382e-04,2.628442e+00 ± 7.222382e-04,2.623176e+00 ± 1.397156e-03,2.592845e+00 ± 1.949677e-03,2.544126e+00 ± 2.495287e-03,2.326574e+00 ± 3.389366e-03,1.655816e+00 ± 8.129553e-03,7.669582e-01 ± 8.245630e-03,SIG:Suu
1.7161e+00 ± 1.7858e-01,1.7161e+00 ± 1.7858e-01,1.7161e+00 ± 1.7858e-01,1.7161e+00 ± 1.7858e-01,5.483e-01 ± 1.138e-01,1.6517e-01 ± 5.3168e-02,9.020e-02 ± 5.311e-02,1.9276e-02 ± 3.4669e-03,4.841e-03 ± 1.309e-03,7.822e-04 ± 7.934e-04,BKG:sum
1.531637e+00 ± 1.593850e-01,1.531637e+00 ± 1.593850e-01,1.531637e+00 ± 1.593850e-01,1.531637e+00 ± 1.593850e-01,4.784198e+00 ± 9.929666e-01,1.569804e+01 ± 5.053191e+00,2.820539e+01 ± 1.660743e+01,1.206980e+02 ± 2.170894e+01,3.420401e+02 ± 9.250243e+01,9.805142e+02 ± 9.946096e+02,S/B
