M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,23.8499,0.20563,3.252,1.381
7.25,15.37072,0.04470379,1.9319,0.85208
7.5,9.99113,0.080033,0.9645,0.1017
7.75,6.12585,0.0493482,0.7212,0.3184
8.0,3.82696,0.0285144,0.2593,0.2148
8.25,2.298211,0.007222375,0.1989,0.1242
8.5,1.3694,0.0120632,0.07842,0.02916
8.75,0.798281,0.00489453,0.04286,0.01577
