M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.618471,4.406028,6.127005,8.608672,12.590258,17.940725
7.25,3.128079,3.975840,5.378930,7.661029,11.371081,16.374480
7.50,3.177103,2.787748,3.955228,5.842090,8.893612,13.181813
7.75,3.225904,2.212113,3.126444,4.681474,7.322856,11.152994
8.00,3.241083,1.893828,2.719953,4.168880,6.619848,10.268130
8.25,3.387857,1.508159,2.224299,3.508415,5.744225,9.155872
8.50,3.595319,1.181731,1.786986,2.925799,4.973545,8.184855
8.75,3.711617,0.981311,1.528993,2.584331,4.531029,12.416800
