M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,0.114362,0.148961,0.199000,0.286729,0.419616,0.604754
7.25,0.114362,0.148961,0.199000,0.286729,0.419616,0.604754
7.50,0.177649,0.174732,0.236600,0.343393,0.508231,0.740615
7.75,0.277787,0.280685,0.383842,0.555027,0.828424,1.208905
8.00,0.426213,0.396593,0.553798,0.823158,1.253096,1.862384
8.25,0.713757,0.511864,0.725779,1.099002,1.713495,2.606676
8.50,1.235233,0.680644,0.985392,1.524842,2.441479,3.811720
8.75,2.224486,0.923581,1.367252,2.176313,3.595164,5.774022
