M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.608964,6.068643,8.062330,11.338211,16.310858,23.050233
7.25,3.025488,4.651868,6.453725,9.197408,13.498149,19.314763
7.50,3.118671,3.570597,4.862811,7.150967,10.637888,15.527832
7.75,3.116990,2.772376,3.869805,5.730767,8.734251,13.008468
8.00,3.142266,2.285239,3.242119,4.900047,7.620291,11.579855
8.25,3.240136,1.841014,2.650004,4.094477,6.529654,10.159855
8.50,3.443929,1.412167,2.089262,3.330780,5.508146,8.857533
8.75,3.619967,1.124560,1.713210,2.828466,4.847367,12.769770
