M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.253954,2.980815,3.885709,5.672199,8.425168,12.734457
7.25,3.253954,2.980815,3.885709,5.672199,8.425168,12.734457
7.50,3.267572,2.074434,2.942721,4.296673,6.782396,10.464569
7.75,3.421955,1.589774,2.278144,3.519020,5.760979,9.151081
8.00,3.545700,1.286697,1.958239,3.125742,5.222702,8.496754
8.25,3.667366,1.100002,1.679713,2.773795,4.767042,7.926594
8.50,3.753205,0.887172,1.398432,2.415764,4.315200,7.374749
8.75,3.786574,0.781196,1.269676,2.250665,4.110066,7.132244
