M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,34.4909,0.185523,3.968,1.319
7.25,22.09392,0.0544176,2.8026,0.87023
7.5,14.17907,0.0326693,1.3228,0.76468
7.75,8.73761,0.0326872,0.7352,0.3663
8.0,5.4919,0.0210296,0.4458,0.2166
8.25,3.27642,0.0167929,0.3221,0.2116
8.5,1.951958,0.007516568,0.13779,0.073787
8.75,1.131092,0.005270989,0.06181,0.02577
