M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,28.2348,0.254252,2.808,1.114
7.25,18.1057,0.176183,1.345,0.68223
7.5,11.65938,0.05574335,0.7141,0.4174
7.75,7.19017,0.0519149,0.4774,0.2522
8.0,4.52954,0.0291869,0.1647,0.072097
8.25,2.70803,0.0208646,0.1745,0.1034
8.5,1.60291,0.0112287,0.07448,0.05005
8.75,0.934142,0.0059134,0.02914,0.01581
