M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,175.4042,0.4568154,1.555,1.03
7.25,113.8927,0.1702194,0.7533,0.6631
7.5,73.0776,0.214484,0.4439,0.2343
7.75,45.7637,0.143626,0.2763,0.2445
8.0,28.57261,0.05702752,0.12911,0.08872
8.25,17.44912,0.04985269,0.10674,0.080558
8.5,10.44346,0.01983815,0.02712,0.02357
8.75,6.122741,0.006385684,0.02186,0.01779
9.0,3.517014,0.009256628,0.007833,0.008195
9.25,1.963212,0.001368757,0.0023357,0.00050472
9.5,1.062929,0.003643884,0.0013211,0.0002383
9.75,0.56022,0.00177146,0.001368,0.001246
