M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,212.5938,0.1093117,24.145,2.1464
7.25,137.6003,0.1189733,15.627,1.1836
7.5,87.89901,0.0456055,9.298,1.094
7.75,55.18199,0.02075122,5.0244,0.86988
8.0,34.22327,0.02760037,3.2249,0.70472
8.25,20.897027,0.0067335623,1.6293,0.34209
8.5,12.480165,0.0093765673,0.7851,0.1351
8.75,7.310595,0.003024634,0.41644,0.067627
9.0,4.186341,0.001976651,0.23078,0.020555
9.25,2.3377758,0.00036094441,0.11466,0.020808
9.5,1.2650936,0.00094369466,0.05893,0.01056
9.75,0.6642104,0.0003511662,0.031887,0.0070548
