M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,211.7798,0.1392893,15.619,2.205
7.25,137.235,0.1316916,10.775,1.6739
7.5,87.54517,0.04024537,5.3926,0.46836
7.75,55.05132,0.02748205,3.8394,0.76432
8.0,34.13489,0.03041633,2.101,0.49359
8.25,20.849957,0.0044422865,1.1377,0.24353
8.5,12.452127,0.0051597878,0.5445,0.1436
8.75,7.29541,0.001931499,0.27191,0.060551
9.0,4.177831,0.002274876,0.15581,0.037833
9.25,2.3331586,0.00083554504,0.07699,0.01616
9.5,1.2624585,0.00061508651,0.04066,0.01065
9.75,0.6629366,0.0004476031,0.020337,0.0044289
