M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.347435,5.134677,6.607440,9.224286,13.483872,19.101045
7.25,3.385953,4.162705,5.516796,8.113337,11.887451,16.993663
7.50,3.256091,3.132055,4.258402,6.126876,9.240398,13.634116
7.75,3.156527,2.480938,3.479374,5.156320,7.982771,12.025558
8.00,3.224475,1.873920,2.707450,4.148841,6.619260,10.270673
8.25,3.360719,1.552758,2.255424,3.561919,5.812721,9.240155
8.50,3.599784,1.163353,1.768650,2.897506,4.936223,8.137756
8.75,3.707699,0.973574,1.519591,2.571133,4.513706,7.617717
