M_S,p_value
7.00,6.20000e-06
7.25,3.66000e-05
7.50,6.81600e-04
7.75,3.88120e-03
8.00,1.98497e-02
8.25,4.31904e-02
8.50,7.47125e-02
8.75,1.20155e-01
