M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.5,25.56819,0.04699244,1.2036,0.30719
7.75,16.28278,0.03976809,0.5675,0.3568
8.0,10.05181,0.01670824,0.3161,0.1326
8.25,6.194469,0.009450844,0.2574,0.1084
