M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.5,22.19677,0.05665948,0.20031,0.049351
7.75,14.07017,0.03952112,0.2246,0.1527
8.0,8.71096,0.0134781,0.09464,0.06927
8.25,5.36522,0.0137296,0.1272,0.1379
