0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
1.2965e-03 ± 8.8915e-04,1.2965e-03 ± 8.8915e-04,1.2965e-03 ± 8.8915e-04,1.2965e-03 ± 8.8915e-04,2.788e-04 ± 2.545e-04,9.27e-05 ± 2.07e-04,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_ccbar
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_gg
1.39218e-07 ± 7.30821e-09,1.39218e-07 ± 7.30821e-09,1.39218e-07 ± 7.30821e-09,1.39218e-07 ± 7.30821e-09,4.2083e-08 ± 2.4664e-09,1.1394e-08 ± 3.0829e-09,3.860e-09 ± 1.059e-09,3.674e-10 ± 3.835e-10,9.16e-11 ± 2.05e-10,0.000e+00 ± 0.000e+00,BKG:gg_hbb_hadronic
4.984e-03 ± 5.417e-03,4.984e-03 ± 5.417e-03,4.984e-03 ± 5.417e-03,4.984e-03 ± 5.417e-03,8.30e-04 ± 1.86e-03,8.30e-04 ± 1.86e-03,8.30e-04 ± 1.86e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_qqbar
8.2716e-04 ± 2.3066e-05,8.2716e-04 ± 2.3066e-05,8.2716e-04 ± 2.3066e-05,8.2716e-04 ± 2.3066e-05,2.08133e-04 ± 3.98408e-06,5.4208e-05 ± 6.8323e-06,1.8528e-05 ± 3.9902e-06,2.062e-06 ± 1.194e-06,2.298e-07 ± 3.146e-07,0.000e+00 ± 0.000e+00,BKG:gg_ttbar_bkg_hadronic
4.0171e-09 ± 1.5804e-10,4.0171e-09 ± 1.5804e-10,4.0171e-09 ± 1.5804e-10,4.0171e-09 ± 1.5804e-10,1.0991e-09 ± 1.7137e-10,3.5982e-10 ± 6.6411e-11,1.2552e-10 ± 3.4259e-11,2.343e-11 ± 1.760e-11,2.140e-12 ± 4.786e-12,2.140e-12 ± 4.786e-12,BKG:qg_Hq
9.913e-03 ± 2.027e-03,9.913e-03 ± 2.027e-03,9.913e-03 ± 2.027e-03,9.913e-03 ± 2.027e-03,1.836e-03 ± 1.147e-03,3.685e-04 ± 5.513e-04,1.235e-04 ± 2.762e-04,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_Hq_loop
5.9264e-02 ± 7.1835e-03,5.9264e-02 ± 7.1835e-03,5.9264e-02 ± 7.1835e-03,5.9264e-02 ± 7.1835e-03,2.7810e-02 ± 4.0084e-03,1.34416e-02 ± 8.74899e-04,5.703e-03 ± 2.013e-03,2.221e-03 ± 1.312e-03,7.905e-04 ± 5.543e-04,0.000e+00 ± 0.000e+00,BKG:qg_Wj_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_qg
8.22810e-05 ± 3.94456e-07,8.22810e-05 ± 3.94456e-07,8.22810e-05 ± 3.94456e-07,8.22810e-05 ± 3.94456e-07,4.84204e-05 ± 3.42321e-07,2.33856e-05 ± 4.49976e-07,1.12331e-05 ± 2.09803e-07,2.6396e-06 ± 1.2307e-07,4.9470e-07 ± 4.3884e-08,8.168e-08 ± 2.451e-08,BKG:qq_Httbar
4.35670e-08 ± 4.43757e-10,4.35670e-08 ± 4.43757e-10,4.35670e-08 ± 4.43757e-10,4.35670e-08 ± 4.43757e-10,2.57725e-08 ± 4.31570e-10,1.20022e-08 ± 2.54677e-10,5.24468e-09 ± 8.77310e-11,9.5097e-10 ± 5.9117e-11,1.2976e-10 ± 1.4878e-11,1.2634e-11 ± 9.4559e-12,BKG:qq_hbb_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qq_qq
9.7067e-04 ± 3.7057e-05,9.7067e-04 ± 3.7057e-05,9.7067e-04 ± 3.7057e-05,9.7067e-04 ± 3.7057e-05,3.7366e-04 ± 2.1627e-05,1.3975e-04 ± 1.1371e-05,5.3577e-05 ± 4.0404e-06,8.147e-06 ± 2.447e-06,5.524e-07 ± 5.770e-07,0.000e+00 ± 0.000e+00,BKG:qq_ttbar_bkg_hadronic
6.1593e-02 ± 5.1441e-03,6.1593e-02 ± 5.1441e-03,6.1593e-02 ± 5.1441e-03,6.1593e-02 ± 5.1441e-03,3.9163e-02 ± 3.5255e-03,2.3787e-02 ± 1.9493e-03,1.37334e-02 ± 8.88156e-04,4.5637e-03 ± 9.5440e-04,1.4971e-03 ± 5.7227e-04,2.845e-04 ± 2.692e-04,BKG:qqbar_Wj_hadronic
2.37449e-03 ± 4.06085e-05,2.37449e-03 ± 4.06085e-05,2.37449e-03 ± 4.06085e-05,2.37449e-03 ± 4.06085e-05,9.5562e-04 ± 3.7447e-05,3.4361e-04 ± 2.4598e-05,1.27700e-04 ± 7.85278e-06,1.8109e-05 ± 8.9164e-06,1.787e-06 ± 2.446e-06,2.977e-07 ± 6.656e-07,BKG:qqbar_bbbar
1.79531e-03 ± 6.30838e-05,1.79531e-03 ± 6.30838e-05,1.79531e-03 ± 6.30838e-05,1.79531e-03 ± 6.30838e-05,6.4394e-04 ± 1.6649e-05,2.2453e-04 ± 1.3440e-05,7.681e-05 ± 1.134e-05,7.416e-06 ± 2.344e-06,5.953e-07 ± 8.151e-07,0.000e+00 ± 0.000e+00,BKG:qqbar_ccbar
1.625e-01 ± 1.005e-01,1.625e-01 ± 1.005e-01,1.625e-01 ± 1.005e-01,1.625e-01 ± 1.005e-01,9.630e-02 ± 7.143e-02,4.815e-02 ± 2.671e-02,1.800e-02 ± 2.683e-02,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qqbar_gg
3.8707e-03 ± 1.3404e-04,3.8707e-03 ± 1.3404e-04,3.8707e-03 ± 1.3404e-04,3.8707e-03 ± 1.3404e-04,1.12986e-03 ± 6.43214e-05,2.9096e-04 ± 2.8516e-05,6.874e-05 ± 1.312e-05,3.559e-06 ± 5.792e-06,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qqbar_qqbarNew
1.5412958e+00 ± 1.4853564e-04,1.5412958e+00 ± 1.4853564e-04,1.5412958e+00 ± 1.4853564e-04,1.5412958e+00 ± 1.4853564e-04,1.5354734e+00 ± 3.3481794e-04,1.516076e+00 ± 2.148604e-03,1.478022e+00 ± 3.062919e-03,1.297142e+00 ± 1.981562e-03,8.89868e-01 ± 5.82113e-03,3.44973e-01 ± 5.42291e-03,SIG:Suu
9.217e-01 ± 1.029e-01,9.217e-01 ± 1.029e-01,9.217e-01 ± 1.029e-01,9.217e-01 ± 1.029e-01,2.0530e-01 ± 7.1009e-02,9.361e-02 ± 2.929e-02,4.133e-02 ± 2.522e-02,7.659e-03 ± 1.276e-03,2.4874e-03 ± 3.9144e-04,3.093e-04 ± 2.663e-04,BKG:sum
1.6896e+00 ± 1.9513e-01,1.6896e+00 ± 1.9513e-01,1.6896e+00 ± 1.9513e-01,1.6896e+00 ± 1.9513e-01,8.123e+00 ± 2.400e+00,1.7335e+01 ± 4.5940e+00,4.588e+01 ± 2.187e+01,1.7294e+02 ± 2.6962e+01,3.6387e+02 ± 4.9072e+01,3.210e+03 ± 4.550e+03,S/B
