0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
1.51217e-06 ± 2.68720e-08,1.51217e-06 ± 2.68720e-08,1.51217e-06 ± 2.68720e-08,1.51217e-06 ± 2.68720e-08,7.4464e-07 ± 4.1493e-08,3.7855e-07 ± 2.7927e-08,1.9810e-07 ± 1.6629e-08,6.052e-08 ± 1.012e-08,1.5507e-08 ± 3.8111e-09,1.5072e-09 ± 5.8991e-10,BKG:ff_HW
1.56325e-06 ± 2.91497e-08,1.56325e-06 ± 2.91497e-08,1.56325e-06 ± 2.91497e-08,1.56325e-06 ± 2.91497e-08,7.9862e-07 ± 2.4226e-08,4.1757e-07 ± 1.5185e-08,2.2440e-07 ± 1.1454e-08,6.751e-08 ± 1.205e-08,1.6557e-08 ± 4.9530e-09,2.969e-09 ± 1.893e-09,BKG:ff_HZ
2.7244e-01 ± 2.3932e-02,2.7244e-01 ± 2.3932e-02,2.7244e-01 ± 2.3932e-02,2.7244e-01 ± 2.3932e-02,1.2031e-02 ± 5.1934e-03,8.61e-04 ± 1.18e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff
3.2696e-01 ± 7.0806e-02,3.2696e-01 ± 7.0806e-02,3.2696e-01 ± 7.0806e-02,3.2696e-01 ± 7.0806e-02,1.6234e-02 ± 7.3166e-03,7.07e-04 ± 1.58e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff2
8.74247e-03 ± 9.16435e-05,8.74247e-03 ± 9.16435e-05,8.74247e-03 ± 9.16435e-05,8.74247e-03 ± 9.16435e-05,5.94944e-03 ± 8.89736e-05,3.67004e-03 ± 6.12773e-05,2.27742e-03 ± 4.84064e-05,7.5361e-04 ± 3.3228e-05,1.7305e-04 ± 1.4267e-05,1.9239e-05 ± 7.5906e-06,BKG:ff_WW_bkg
2.06246e-04 ± 7.73831e-06,2.06246e-04 ± 7.73831e-06,2.06246e-04 ± 7.73831e-06,2.06246e-04 ± 7.73831e-06,7.0963e-05 ± 3.3065e-06,3.0000e-05 ± 1.8926e-06,1.3587e-05 ± 1.1505e-06,2.307e-06 ± 1.162e-06,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_ZW_bkg
2.22314e-04 ± 6.63107e-06,2.22314e-04 ± 6.63107e-06,2.22314e-04 ± 6.63107e-06,2.22314e-04 ± 6.63107e-06,1.25507e-04 ± 5.11399e-06,7.2242e-05 ± 5.6633e-06,4.2112e-05 ± 4.8035e-06,1.2622e-05 ± 1.7191e-06,2.9998e-06 ± 6.8795e-07,4.932e-07 ± 1.440e-07,BKG:ff_gmZgmZ_bkg
7.7322e-04 ± 3.6049e-05,7.7322e-04 ± 3.6049e-05,7.7322e-04 ± 3.6049e-05,7.7322e-04 ± 3.6049e-05,4.9737e-04 ± 1.6996e-05,2.8051e-04 ± 1.0832e-05,1.63819e-04 ± 9.48911e-06,5.713e-05 ± 1.481e-05,1.9990e-05 ± 7.5135e-06,4.686e-06 ± 2.225e-06,BKG:ffbar_Wgm
5.671e-04 ± 1.659e-04,5.671e-04 ± 1.659e-04,5.671e-04 ± 1.659e-04,5.671e-04 ± 1.659e-04,1.4828e-04 ± 8.8963e-05,4.314e-05 ± 2.761e-05,6.13e-06 ± 1.37e-05,6.13e-06 ± 1.37e-05,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_Hg
6.35309e-05 ± 3.98310e-07,6.35309e-05 ± 3.98310e-07,6.35309e-05 ± 3.98310e-07,6.35309e-05 ± 3.98310e-07,3.24878e-05 ± 3.45727e-07,1.35563e-05 ± 5.25661e-07,5.6611e-06 ± 2.2713e-07,7.3901e-07 ± 9.6982e-08,9.143e-08 ± 2.890e-08,0.000e+00 ± 0.000e+00,BKG:gg_Httbar
2.25814e-03 ± 7.96623e-05,2.25814e-03 ± 7.96623e-05,2.25814e-03 ± 7.96623e-05,2.25814e-03 ± 7.96623e-05,6.303e-04 ± 1.312e-04,1.8257e-04 ± 6.3710e-05,7.324e-05 ± 4.125e-05,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_bbbar
