M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.50,3.175857,3.419948,4.779296,6.988357,10.441142,15.201365
7.75,3.106220,2.659911,3.655786,5.344351,8.203749,12.328766
8.00,3.169913,2.257288,3.145871,4.764067,7.418055,11.296187
8.25,3.358611,1.618065,2.350128,3.691678,5.973212,9.437163
