M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.5,10.094398,0.0078087965,5.0346,0.6987
7.75,6.375281,0.003261208,3.0137,0.35598
8.0,3.9660683,0.00082194111,1.5402,0.38703
8.25,2.425488,0.001255472,0.981,0.3486
