M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.5,10.126774,0.005689327,8.7319,0.86665
7.75,6.390397,0.001942733,4.861,0.39079
8.0,3.977351,0.001097331,2.8632,0.4474
8.25,2.430042,0.00117746,1.5256,0.44539
