M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.612593,4.699720,6.198348,8.696190,12.534683,17.849920
7.25,3.176317,4.038583,5.407666,7.816401,11.472186,16.641889
7.50,3.116044,2.943534,4.037358,5.957427,9.008742,13.334818
7.75,3.198148,2.230877,3.122797,4.694935,7.320720,11.157088
8.00,3.248857,1.885281,2.696607,4.132403,6.571839,10.206928
8.25,3.381966,1.574561,2.295126,3.596730,5.851501,9.289467
8.50,3.623170,1.130165,1.718625,2.835443,4.855263,8.038155
8.75,3.711628,0.986483,1.533232,2.590081,4.538336,7.648151
