M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.5,7.465972,0.002732999,5.1647,0.47013
7.75,4.7253,0.001446531,2.9486,0.60329
8.0,2.936657,0.001483449,1.666,0.39506
8.25,1.794955,0.001115773,0.8607,0.1632
