M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.303004,5.650739,7.939829,11.028789,15.960836,22.311282
7.25,3.370241,4.882729,6.553892,9.192380,13.555468,19.349079
7.50,3.214310,3.506853,4.844123,7.073320,10.581610,15.412134
7.75,3.109028,2.794095,3.875182,5.760011,8.776907,13.085549
8.00,3.150165,2.270386,3.217791,4.878633,7.584520,11.517122
8.25,3.264986,1.775464,2.559656,3.965772,6.362026,9.944720
8.50,3.485427,1.341576,2.001007,3.212276,5.351122,8.659768
8.75,3.638232,1.102353,1.684097,2.789220,4.794968,7.963270
