M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.50,3.190521,2.982215,4.029306,5.831506,8.747130,12.928859
7.75,3.184494,2.278722,3.133346,4.821925,7.425510,11.291508
8.00,3.255239,1.879908,2.699298,4.148997,6.565454,10.191594
8.25,3.480746,1.446427,2.111052,3.342973,5.497772,8.849456
