M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,0.069654,0.119163,0.167436,0.232576,0.336583,0.470502
7.25,0.109896,0.159214,0.213707,0.299742,0.442012,0.630928
7.50,0.163781,0.178688,0.246827,0.360413,0.539174,0.785307
7.75,0.252745,0.227143,0.315029,0.468254,0.713509,1.063776
8.00,0.413070,0.297708,0.421938,0.639718,0.994532,1.510201
8.25,0.702856,0.382205,0.551019,0.853714,1.369558,2.140807
8.50,1.258823,0.484534,0.722699,1.160170,1.932652,3.127628
8.75,2.247258,0.680900,1.040231,1.722842,2.961749,4.918741
