M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.597533,6.345115,8.528145,11.997636,17.354724,24.336994
7.25,3.091839,5.140180,6.949884,9.927633,14.463039,20.553065
7.50,3.117412,3.805405,5.305327,7.698791,11.445654,16.580506
7.75,3.100039,2.867317,4.022515,5.979337,9.093428,13.497455
8.00,3.150073,2.339540,3.301931,4.964983,7.705895,11.673294
8.25,3.227916,1.845466,2.660388,4.100018,6.544752,10.183596
8.50,3.436944,1.427885,2.113724,3.360947,5.548348,8.908063
8.75,3.594578,1.172285,1.776121,2.910756,4.954989,12.336750
