M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,37.43302,0.09190463,5.772,1.947
7.25,24.00338,0.0537763,5.2855,0.68149
7.5,15.40312,0.04067192,2.2133,0.7931
7.75,9.52341,0.0252841,1.2348,0.40686
8.0,5.95173,0.0264962,0.7656,0.1906
8.25,3.59049,0.016214,0.5137,0.2365
8.5,2.145198,0.007109439,0.19856,0.083617
8.75,1.247979,0.001989521,0.13062,0.078602
