M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,11.320046,11.401244,11.728639,19.534391,23.731487,34.977743
7.25,7.359327,7.370538,7.485754,10.821510,14.637990,21.218673
7.50,4.741975,4.714387,4.772853,6.338225,9.251573,13.467827
7.75,3.408403,3.013684,3.109117,5.334516,7.587412,11.295100
8.00,3.598663,1.928227,3.056258,4.010930,6.573856,9.999498
8.25,3.499933,1.669250,2.250627,3.436053,5.627707,8.965065
8.50,3.694243,1.221897,1.736581,2.768080,4.764943,7.883704
8.75,3.739696,0.956655,1.484943,2.485315,4.409201,7.479177
