M_S,p_value
7.00,2.35000e-05
7.25,2.35000e-05
7.50,1.53000e-03
7.75,2.21781e-02
8.00,4.26865e-02
8.25,8.90894e-02
8.50,1.46963e-01
8.75,2.10597e-01
