0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
1.49702e-08 ± 7.87787e-10,1.49702e-08 ± 7.87787e-10,1.49702e-08 ± 7.87787e-10,1.49702e-08 ± 7.87787e-10,4.0716e-09 ± 3.5404e-10,1.2653e-09 ± 2.6530e-10,4.948e-10 ± 1.746e-10,8.363e-11 ± 5.106e-11,8.28e-12 ± 1.85e-11,0.000e+00 ± 0.000e+00,BKG:qg_Hq
3.125e-02 ± 1.398e-02,3.125e-02 ± 1.398e-02,3.125e-02 ± 1.398e-02,3.125e-02 ± 1.398e-02,5.890e-03 ± 3.779e-03,2.781e-03 ± 1.994e-03,1.386e-03 ± 1.898e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_Hq_loop
1.8386e-01 ± 1.8555e-02,1.8386e-01 ± 1.8555e-02,1.8386e-01 ± 1.8555e-02,1.8386e-01 ± 1.8555e-02,9.121e-02 ± 1.248e-02,4.5619e-02 ± 9.0497e-03,2.1081e-02 ± 5.3972e-03,7.519e-03 ± 2.524e-03,2.509e-03 ± 2.514e-03,5.08e-04 ± 1.14e-03,BKG:qg_Wj_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_qg
3.09856e-04 ± 1.36098e-06,3.09856e-04 ± 1.36098e-06,3.09856e-04 ± 1.36098e-06,3.09856e-04 ± 1.36098e-06,1.84302e-04 ± 2.81604e-06,8.9674e-05 ± 2.7923e-06,4.2276e-05 ± 1.8195e-06,1.00121e-05 ± 9.35720e-07,2.0932e-06 ± 3.1009e-07,3.007e-07 ± 1.700e-07,BKG:qq_Httbar
1.82338e-07 ± 1.46885e-09,1.82338e-07 ± 1.46885e-09,1.82338e-07 ± 1.46885e-09,1.82338e-07 ± 1.46885e-09,1.107580e-07 ± 8.025248e-10,5.23126e-08 ± 9.08041e-10,2.30680e-08 ± 3.88746e-10,4.2171e-09 ± 3.1577e-10,6.727e-10 ± 1.128e-10,9.151e-11 ± 3.627e-11,BKG:qq_hbb_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qq_qq
3.9486e-03 ± 2.3614e-04,3.9486e-03 ± 2.3614e-04,3.9486e-03 ± 2.3614e-04,3.9486e-03 ± 2.3614e-04,1.5082e-03 ± 1.3194e-04,5.5598e-04 ± 3.3411e-05,2.0748e-04 ± 2.3511e-05,2.869e-05 ± 1.115e-05,3.371e-06 ± 3.654e-06,5.59e-07 ± 1.25e-06,BKG:qq_ttbar_bkg_hadronic
2.40829e-01 ± 9.69367e-03,2.40829e-01 ± 9.69367e-03,2.40829e-01 ± 9.69367e-03,2.40829e-01 ± 9.69367e-03,1.53417e-01 ± 5.29977e-03,9.0224e-02 ± 4.1429e-03,5.1426e-02 ± 1.1909e-03,1.4442e-02 ± 1.9767e-03,3.394e-03 ± 1.149e-03,2.834e-04 ± 3.880e-04,BKG:qqbar_Wj_hadronic
1.00119e-02 ± 2.98067e-04,1.00119e-02 ± 2.98067e-04,1.00119e-02 ± 2.98067e-04,1.00119e-02 ± 2.98067e-04,3.9378e-03 ± 2.8464e-04,1.3806e-03 ± 1.4329e-04,5.431e-04 ± 1.234e-04,7.847e-05 ± 2.966e-05,1.0867e-05 ± 6.6270e-06,0.000e+00 ± 0.000e+00,BKG:qqbar_bbbar
7.3827e-03 ± 2.3793e-04,7.3827e-03 ± 2.3793e-04,7.3827e-03 ± 2.3793e-04,7.3827e-03 ± 2.3793e-04,2.60421e-03 ± 8.39056e-05,8.248e-04 ± 1.023e-04,2.8022e-04 ± 2.9211e-05,4.229e-05 ± 1.137e-05,6.033e-06 ± 4.251e-06,2.418e-06 ± 3.311e-06,BKG:qqbar_ccbar
8.112e-01 ± 2.995e-01,8.112e-01 ± 2.995e-01,8.112e-01 ± 2.995e-01,8.112e-01 ± 2.995e-01,4.247e-01 ± 2.611e-01,1.931e-01 ± 1.528e-01,1.356e-01 ± 1.471e-01,3.879e-02 ± 5.311e-02,1.921e-02 ± 4.294e-02,0.000e+00 ± 0.000e+00,BKG:qqbar_gg
1.58644e-02 ± 6.68992e-04,1.58644e-02 ± 6.68992e-04,1.58644e-02 ± 6.68992e-04,1.58644e-02 ± 6.68992e-04,4.4183e-03 ± 2.0658e-04,1.22215e-03 ± 8.95227e-05,3.4353e-04 ± 3.4950e-05,3.260e-05 ± 2.370e-05,3.578e-06 ± 8.000e-06,0.000e+00 ± 0.000e+00,BKG:qqbar_qqbarNew
4.398847e+00 ± 1.123569e-03,4.398847e+00 ± 1.123569e-03,4.398847e+00 ± 1.123569e-03,4.398847e+00 ± 1.123569e-03,4.382894e+00 ± 3.582297e-03,4.323003e+00 ± 3.460968e-03,4.207715e+00 ± 7.538096e-03,3.697870e+00 ± 9.189414e-03,2.55923e+00 ± 1.85386e-02,9.9426e-01 ± 2.8680e-02,SIG:Suu
3.0433e+00 ± 3.1179e-01,3.0433e+00 ± 3.1179e-01,3.0433e+00 ± 3.1179e-01,3.0433e+00 ± 3.1179e-01,8.062e-01 ± 2.759e-01,3.586e-01 ± 1.422e-01,2.208e-01 ± 1.478e-01,6.400e-02 ± 5.503e-02,2.582e-02 ± 4.479e-02,8.56e-04 ± 1.42e-03,BKG:sum
1.4574e+00 ± 1.4634e-01,1.4574e+00 ± 1.4634e-01,1.4574e+00 ± 1.4634e-01,1.4574e+00 ± 1.4634e-01,5.987e+00 ± 2.084e+00,1.4065e+01 ± 6.6776e+00,2.902e+01 ± 1.969e+01,1.0525e+02 ± 6.9316e+01,4.843e+02 ± 4.395e+02,1.271e+04 ± 1.357e+04,S/B
