M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,12.224133,12.388011,13.806717,22.430091,29.900383,40.842498
7.25,7.921762,7.958791,8.146325,13.079823,16.267730,23.840294
7.50,5.068771,5.057292,5.125905,7.058200,9.986061,14.551275
7.75,3.304295,3.225571,3.823499,5.994414,8.724902,12.587563
8.00,3.663852,2.051801,3.344567,4.439241,7.055337,10.574276
8.25,3.512715,1.837271,2.409443,3.662255,5.945652,9.356511
8.50,3.658153,1.354087,1.938582,2.995348,5.089196,8.283778
8.75,3.733138,1.033838,1.575273,2.602486,4.552978,7.659108
