M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.553237,5.945201,7.734641,11.317475,16.300655,22.900716
7.25,3.177648,4.850695,6.589252,9.576767,14.012906,19.858499
7.50,3.090626,3.679841,5.020982,7.262673,10.852326,15.744488
7.75,3.141653,2.745040,3.840088,5.700402,8.674653,12.928100
8.00,3.151644,2.293304,3.229443,4.878580,7.599262,11.544865
8.25,3.236569,1.875483,2.690821,4.144714,6.596221,10.246217
8.50,3.452235,1.394385,2.063824,3.297993,5.464765,8.802292
8.75,3.609305,1.152955,1.750533,2.876566,4.910042,8.106186
