M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.250638,3.576527,4.994204,7.270300,10.827697,15.688830
7.25,3.250638,3.576527,4.994204,7.270300,10.827697,15.688830
7.50,3.206430,2.755804,3.755054,5.451005,8.371994,12.468462
7.75,3.280880,2.069724,2.972255,4.495237,6.992709,10.756961
8.00,3.304574,1.832171,2.612422,4.043294,6.438771,10.022503
8.25,3.489703,1.410253,2.076712,3.307875,5.469119,8.798745
8.50,3.578322,1.215326,1.829217,2.978138,5.041218,8.267299
8.75,3.733132,0.929106,1.462325,2.496590,4.419119,7.501847
