M_S,p_value
7.00,0.00000e+00
7.25,7.60000e-05
7.50,6.33000e-04
7.75,4.71600e-03
8.00,2.55470e-02
8.25,6.55220e-02
8.50,1.21030e-01
8.75,1.80813e-01
