M_S,p_value
7.00,3.00000e-08
7.25,9.59000e-06
7.50,5.85760e-04
7.75,3.43968e-03
8.00,1.47638e-02
8.25,3.31193e-02
8.50,7.71228e-02
8.75,1.06180e-01
