M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.636379,4.634162,6.215177,8.718722,12.429186,17.849897
7.25,3.132909,4.041721,5.432991,7.777750,11.500754,16.701356
7.50,3.095564,2.923095,4.012999,5.940574,8.994621,13.302379
7.75,3.181668,2.232572,3.109906,4.704786,7.328153,11.168893
8.00,3.257149,1.880886,2.691466,4.136117,6.573283,10.205678
8.25,3.381183,1.574413,2.295192,3.592243,5.855589,9.290603
8.50,3.624786,1.128355,1.716918,2.834243,4.853618,8.037861
8.75,3.712041,0.985860,1.533732,2.589536,4.538634,7.648170
