M_S,p_value
7.00,0.00000e+00
7.25,7.60000e-06
7.50,1.36800e-04
7.75,1.49560e-03
8.00,9.22200e-03
8.25,3.56202e-02
8.50,7.28573e-02
8.75,1.34688e-01
