M_S,p_value
7.00,0.00000e+00
7.25,0.00000e+00
7.50,0.00000e+00
7.75,5.00000e-04
8.00,3.20000e-03
8.25,2.08000e-02
8.50,4.65000e-02
8.75,1.31500e-01
