M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.50,3.097922,2.888994,4.032246,5.944875,9.023040,13.384289
7.75,3.149914,2.301982,3.287295,4.938223,7.662781,11.628465
8.00,3.256219,1.814519,2.610622,4.034671,6.447884,10.056393
8.25,3.394894,1.522199,2.232000,3.517429,5.754085,9.164249
