M_S,p_value
7.00,0.00000e+00
7.25,1.90000e-05
7.50,3.12000e-04
7.75,2.63400e-03
8.00,1.74740e-02
8.25,5.46150e-02
8.50,9.38390e-02
8.75,1.63040e-01
