M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.574224,4.993378,6.553232,9.644543,14.032445,19.834355
7.25,3.173585,3.936207,5.358761,7.784453,11.481818,16.637268
7.50,3.158086,3.086933,4.258129,6.223304,9.456045,13.960028
7.75,3.178228,2.231911,3.208355,4.833839,7.518047,11.431620
8.00,3.245043,1.939338,2.757937,4.238371,6.715254,10.385530
8.25,3.378569,1.530302,2.242128,3.530516,5.775603,9.193568
8.50,3.598200,1.179965,1.783954,2.920114,4.964679,8.174942
8.75,3.705715,0.977281,1.521327,2.575657,4.520442,11.917820
