0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
1.21289e-04 ± 3.27000e-06,1.21289e-04 ± 3.27000e-06,1.21289e-04 ± 3.27000e-06,7.7354e-05 ± 2.9816e-06,6.2154e-05 ± 2.5808e-06,3.01967e-05 ± 9.03637e-07,1.73827e-05 ± 6.12507e-07,5.6351e-06 ± 7.7439e-07,1.4964e-06 ± 1.5486e-07,1.2742e-07 ± 4.3834e-08,BKG:ff_HW
9.7664e-05 ± 1.7792e-06,9.7664e-05 ± 1.7792e-06,9.7664e-05 ± 1.7792e-06,6.1198e-05 ± 1.7626e-06,4.9232e-05 ± 1.2989e-06,2.41530e-05 ± 5.36490e-07,1.34079e-05 ± 6.67453e-07,4.4222e-06 ± 2.8919e-07,9.850e-07 ± 2.491e-07,1.2889e-07 ± 7.6057e-08,BKG:ff_HZ
4.0069e+00 ± 2.5553e-01,4.0069e+00 ± 2.5553e-01,4.0069e+00 ± 2.5553e-01,5.420e-01 ± 1.669e-01,2.533e-01 ± 1.291e-01,2.351e-02 ± 2.460e-02,5.86e-03 ± 1.31e-02,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff
7.4805e+00 ± 2.3135e-01,7.4805e+00 ± 2.3135e-01,7.4805e+00 ± 2.3135e-01,1.00953e+00 ± 9.29828e-02,3.284e-01 ± 1.187e-01,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff2
3.35231e-01 ± 5.27881e-03,3.35231e-01 ± 5.27881e-03,3.35231e-01 ± 5.27881e-03,2.67495e-01 ± 5.49801e-03,2.31442e-01 ± 4.99429e-03,1.33182e-01 ± 4.33029e-03,8.1762e-02 ± 2.3560e-03,2.9127e-02 ± 1.4252e-03,7.781e-03 ± 1.130e-03,1.2825e-03 ± 1.5716e-04,BKG:ff_WW_bkg
1.33041e-02 ± 7.22974e-04,1.33041e-02 ± 7.22974e-04,1.33041e-02 ± 7.22974e-04,6.2119e-03 ± 5.6986e-04,4.2314e-03 ± 4.3459e-04,1.48389e-03 ± 8.67422e-05,6.1939e-04 ± 6.0382e-05,1.3570e-04 ± 6.2932e-05,3.203e-05 ± 3.902e-05,6.48e-06 ± 1.45e-05,BKG:ff_ZW_bkg
1.00244e-02 ± 1.28064e-04,1.00244e-02 ± 1.28064e-04,1.00244e-02 ± 1.28064e-04,6.8593e-03 ± 2.1458e-04,5.6082e-03 ± 1.8521e-04,2.91404e-03 ± 8.73017e-05,1.69360e-03 ± 8.69305e-05,5.6604e-04 ± 6.1049e-05,1.4505e-04 ± 3.7170e-05,1.5234e-05 ± 7.5670e-06,BKG:ff_gmZgmZ_bkg
3.6575e-02 ± 2.0004e-03,3.6575e-02 ± 2.0004e-03,3.6575e-02 ± 2.0004e-03,2.6151e-02 ± 1.2192e-03,2.1747e-02 ± 1.1279e-03,1.18786e-02 ± 4.20712e-04,7.3711e-03 ± 6.0071e-04,2.7864e-03 ± 1.6738e-04,8.237e-04 ± 1.589e-04,1.4984e-04 ± 9.2088e-05,BKG:ffbar_Wgm
2.5603e-02 ± 4.8220e-03,2.5603e-02 ± 4.8220e-03,2.5603e-02 ± 4.8220e-03,1.0666e-02 ± 1.8855e-03,7.111e-03 ± 1.460e-03,2.133e-03 ± 1.762e-03,1.422e-03 ± 1.301e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_Hg
3.96188e-03 ± 3.96899e-05,3.96188e-03 ± 3.96899e-05,3.96188e-03 ± 3.96899e-05,2.66969e-03 ± 3.63638e-05,2.08554e-03 ± 2.00427e-05,8.1382e-04 ± 1.6855e-05,3.6334e-04 ± 2.0458e-05,5.9787e-05 ± 4.6512e-06,4.615e-06 ± 2.769e-06,2.248e-07 ± 3.079e-07,BKG:gg_Httbar
1.3517e-01 ± 2.2477e-02,1.3517e-01 ± 2.2477e-02,1.3517e-01 ± 2.2477e-02,6.259e-02 ± 1.182e-02,4.1549e-02 ± 7.7544e-03,1.4971e-02 ± 5.0578e-03,4.975e-03 ± 2.285e-03,1.111e-03 ± 1.522e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_bbbar
1.2500e-01 ± 5.6605e-02,1.2500e-01 ± 5.6605e-02,1.2500e-01 ± 5.6605e-02,3.645e-02 ± 2.329e-02,2.600e-02 ± 1.828e-02,1.036e-02 ± 1.418e-02,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_ccbar
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_gg
7.7569e-06 ± 4.1757e-07,7.7569e-06 ± 4.1757e-07,7.7569e-06 ± 4.1757e-07,3.8755e-06 ± 3.6330e-07,2.3211e-06 ± 2.2561e-07,5.7620e-07 ± 6.7472e-08,1.7939e-07 ± 4.9333e-08,3.803e-08 ± 3.095e-08,5.46e-09 ± 1.22e-08,0.000e+00 ± 0.000e+00,BKG:gg_hbb_hadronic
2.701e-01 ± 1.893e-01,2.701e-01 ± 1.893e-01,2.701e-01 ± 1.893e-01,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_qqbar
5.48241e-02 ± 8.11168e-04,5.48241e-02 ± 8.11168e-04,5.48241e-02 ± 8.11168e-04,2.17211e-02 ± 5.29890e-04,1.37790e-02 ± 7.63249e-04,3.4082e-03 ± 3.0081e-04,1.1283e-03 ± 1.7242e-04,1.3332e-04 ± 6.5734e-05,7.83e-06 ± 1.75e-05,7.83e-06 ± 1.75e-05,BKG:gg_ttbar_bkg_hadronic
2.00455e-07 ± 8.21631e-09,2.00455e-07 ± 8.21631e-09,2.00455e-07 ± 8.21631e-09,8.0827e-08 ± 8.0304e-09,5.4333e-08 ± 5.5561e-09,1.5552e-08 ± 2.1640e-09,5.854e-09 ± 2.631e-09,9.96e-10 ± 1.04e-09,1.247e-10 ± 2.788e-10,0.000e+00 ± 0.000e+00,BKG:qg_Hq
2.4847e-01 ± 3.9173e-02,2.4847e-01 ± 3.9173e-02,2.4847e-01 ± 3.9173e-02,8.361e-02 ± 2.082e-02,5.877e-02 ± 1.698e-02,1.809e-02 ± 1.720e-02,6.783e-03 ± 6.193e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_Hq_loop
