0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
1.6896e+00 ± 1.9139e-01,1.6896e+00 ± 1.9139e-01,1.6896e+00 ± 1.9139e-01,1.0112e+00 ± 1.4131e-01,7.8665e-01 ± 6.0711e-02,3.6220e-01 ± 6.3690e-02,1.5013e-01 ± 5.4930e-02,3.759e-02 ± 2.728e-02,1.249e-02 ± 1.855e-02,0.000e+00 ± 0.000e+00,BKG:qg_Wj_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_qg
4.20296e-03 ± 3.37088e-05,4.20296e-03 ± 3.37088e-05,4.20296e-03 ± 3.37088e-05,3.11563e-03 ± 2.13061e-05,2.57285e-03 ± 3.07690e-05,1.18856e-03 ± 3.37554e-05,5.8281e-04 ± 2.1644e-05,1.4038e-04 ± 1.0156e-05,2.7445e-05 ± 3.0844e-06,4.960e-06 ± 2.140e-06,BKG:qq_Httbar
2.60637e-06 ± 1.23173e-08,2.60637e-06 ± 1.23173e-08,2.60637e-06 ± 1.23173e-08,1.96815e-06 ± 1.42083e-08,1.63634e-06 ± 1.72280e-08,7.3752e-07 ± 1.1565e-08,3.34927e-07 ± 9.27314e-09,6.3002e-08 ± 2.7067e-09,8.884e-09 ± 1.674e-09,7.597e-10 ± 3.922e-10,BKG:qq_hbb_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qq_qq
5.8711e-02 ± 1.3150e-03,5.8711e-02 ± 1.3150e-03,5.8711e-02 ± 1.3150e-03,3.0062e-02 ± 1.3592e-03,2.12505e-02 ± 9.08085e-04,6.9296e-03 ± 5.9739e-04,2.5397e-03 ± 2.1334e-04,3.710e-04 ± 1.498e-04,6.802e-05 ± 3.174e-05,7.59e-06 ± 1.70e-05,BKG:qq_ttbar_bkg_hadronic
2.9461e+00 ± 1.3035e-01,2.9461e+00 ± 1.3035e-01,2.9461e+00 ± 1.3035e-01,2.15703e+00 ± 9.58277e-02,1.8153e+00 ± 1.0631e-01,9.268e-01 ± 1.002e-01,5.3480e-01 ± 7.3929e-02,1.7326e-01 ± 2.6314e-02,3.024e-02 ± 1.398e-02,5.049e-03 ± 4.609e-03,BKG:qqbar_Wj_hadronic
1.45982e-01 ± 6.11692e-03,1.45982e-01 ± 6.11692e-03,1.45982e-01 ± 6.11692e-03,7.7691e-02 ± 4.6787e-03,5.4269e-02 ± 3.6309e-03,1.6509e-02 ± 1.2413e-03,6.558e-03 ± 1.150e-03,8.768e-04 ± 3.560e-04,1.1368e-04 ± 4.4628e-05,0.000e+00 ± 0.000e+00,BKG:qqbar_bbbar
1.08104e-01 ± 1.37665e-03,1.08104e-01 ± 1.37665e-03,1.08104e-01 ± 1.37665e-03,5.3105e-02 ± 1.2099e-03,3.5371e-02 ± 1.5515e-03,9.7100e-03 ± 6.5929e-04,3.4575e-03 ± 4.8018e-04,4.058e-04 ± 1.140e-04,8.097e-05 ± 9.899e-05,3.241e-05 ± 4.438e-05,BKG:qqbar_ccbar
1.0312e+01 ± 1.5152e+00,1.0312e+01 ± 1.5152e+00,1.0312e+01 ± 1.5152e+00,6.0925e+00 ± 8.5496e-01,5.0005e+00 ± 7.1259e-01,2.8165e+00 ± 7.2701e-01,1.4097e+00 ± 6.6747e-01,1.586e-01 ± 3.547e-01,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qqbar_gg
2.1313e-01 ± 1.2994e-02,2.1313e-01 ± 1.2994e-02,2.1313e-01 ± 1.2994e-02,8.3383e-02 ± 4.3487e-03,5.3665e-02 ± 1.8105e-03,1.2650e-02 ± 1.0207e-03,3.0117e-03 ± 8.6375e-04,1.944e-04 ± 3.178e-04,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qqbar_qqbarNew
2.8472935e+01 ± 8.5250554e-03,2.8472935e+01 ± 8.5250554e-03,2.8472935e+01 ± 8.5250554e-03,2.841387e+01 ± 1.551870e-02,2.834909e+01 ± 1.127984e-02,2.785370e+01 ± 1.791756e-02,2.702759e+01 ± 3.037442e-02,2.382014e+01 ± 6.333128e-02,1.63240e+01 ± 2.46756e-01,6.19888e+00 ± 9.18797e-02,SIG:Suu
2.8224e+01 ± 1.7242e+00,2.8224e+01 ± 1.7242e+00,2.8224e+01 ± 1.7242e+00,1.1584e+01 ± 1.0299e+00,8.7637e+00 ± 7.8857e-01,4.3753e+00 ± 7.7559e-01,2.2227e+00 ± 6.7450e-01,4.054e-01 ± 3.762e-01,5.181e-02 ± 2.789e-02,6.556e-03 ± 4.531e-03,BKG:sum
1.01199e+00 ± 6.47247e-02,1.01199e+00 ± 6.47247e-02,1.01199e+00 ± 6.47247e-02,2.4691e+00 ± 2.2946e-01,3.2573e+00 ± 3.1336e-01,6.5072e+00 ± 9.9880e-01,1.3038e+01 ± 3.6986e+00,8.739e+01 ± 4.243e+01,4.276e+02 ± 2.951e+02,1.936e+03 ± 1.806e+03,S/B
