0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
3.4865e-02 ± 2.3020e-03,3.4865e-02 ± 2.3020e-03,3.4865e-02 ± 2.3020e-03,3.0078e-02 ± 9.9252e-03,8.3799e-03 ± 5.9629e-04,3.4382e-03 ± 8.3266e-04,1.0457e-03 ± 4.0257e-04,4.469e-04 ± 4.080e-04,1.496e-04 ± 3.345e-04,0.000e+00 ± 0.000e+00,BKG:gg_bbbar
2.4846e-02 ± 8.4155e-03,2.4846e-02 ± 8.4155e-03,2.4846e-02 ± 8.4155e-03,2.048e-02 ± 1.411e-02,4.379e-03 ± 6.531e-03,2.922e-03 ± 6.533e-03,1.461e-03 ± 3.266e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_ccbar
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_gg
2.24549e-06 ± 9.85583e-08,2.24549e-06 ± 9.85583e-08,2.24549e-06 ± 9.85583e-08,2.0222e-06 ± 4.9113e-07,7.3527e-07 ± 4.2014e-08,2.18953e-07 ± 8.92822e-09,7.543e-08 ± 1.086e-08,1.4797e-08 ± 5.2362e-09,1.479e-09 ± 3.307e-09,0.000e+00 ± 0.000e+00,BKG:gg_hbb_hadronic
2.586e-02 ± 3.541e-02,2.586e-02 ± 3.541e-02,2.586e-02 ± 3.541e-02,2.586e-02 ± 3.541e-02,1.283e-02 ± 2.870e-02,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_qqbar
1.38194e-02 ± 4.64227e-04,1.38194e-02 ± 4.64227e-04,1.38194e-02 ± 4.64227e-04,1.2155e-02 ± 3.8617e-03,3.2818e-03 ± 1.0193e-04,8.5535e-04 ± 8.0455e-05,2.6960e-04 ± 4.5647e-05,3.847e-05 ± 1.647e-05,2.025e-06 ± 4.529e-06,0.000e+00 ± 0.000e+00,BKG:gg_ttbar_bkg_hadronic
5.2797e-08 ± 1.8537e-09,5.2797e-08 ± 1.8537e-09,5.2797e-08 ± 1.8537e-09,4.622e-08 ± 1.447e-08,1.4210e-08 ± 2.4867e-09,4.195e-09 ± 1.005e-09,1.4970e-09 ± 4.1279e-10,2.927e-10 ± 1.786e-10,6.468e-11 ± 8.857e-11,0.000e+00 ± 0.000e+00,BKG:qg_Hq
9.236e-02 ± 1.699e-02,9.236e-02 ± 1.699e-02,9.236e-02 ± 1.699e-02,8.419e-02 ± 3.055e-02,2.2878e-02 ± 7.2903e-03,3.666e-03 ± 2.049e-03,2.747e-03 ± 2.508e-03,9.22e-04 ± 2.06e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_Hq_loop
5.2525e-01 ± 4.1918e-02,5.2525e-01 ± 4.1918e-02,5.2525e-01 ± 4.1918e-02,4.681e-01 ± 1.298e-01,2.1518e-01 ± 5.3390e-02,1.0088e-01 ± 3.9110e-02,4.895e-02 ± 1.231e-02,1.4872e-02 ± 7.4870e-03,1.496e-03 ± 3.346e-03,0.000e+00 ± 0.000e+00,BKG:qg_Wj_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qg_qg
1.18108e-03 ± 1.57172e-05,1.18108e-03 ± 1.57172e-05,1.18108e-03 ± 1.57172e-05,1.1153e-03 ± 1.4058e-04,7.1180e-04 ± 1.2552e-05,3.4860e-04 ± 1.1155e-05,1.63750e-04 ± 4.78426e-06,3.8532e-05 ± 2.0105e-06,7.8659e-06 ± 5.6404e-07,1.2684e-06 ± 4.6315e-07,BKG:qq_Httbar
6.88318e-07 ± 2.01211e-09,6.88318e-07 ± 2.01211e-09,6.88318e-07 ± 2.01211e-09,6.5214e-07 ± 7.9689e-08,4.22124e-07 ± 3.48311e-09,1.95913e-07 ± 6.05958e-09,8.4506e-08 ± 2.7246e-09,1.6264e-08 ± 1.1020e-09,2.6510e-09 ± 3.5840e-10,3.358e-10 ± 1.882e-10,BKG:qq_hbb_hadronic
0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qq_qq
1.53957e-02 ± 3.23895e-04,1.53957e-02 ± 3.23895e-04,1.53957e-02 ± 3.23895e-04,1.3862e-02 ± 3.3150e-03,5.5998e-03 ± 1.8437e-04,1.99638e-03 ± 8.59079e-05,7.0370e-04 ± 4.3815e-05,8.913e-05 ± 3.443e-05,8.47e-06 ± 1.38e-05,0.000e+00 ± 0.000e+00,BKG:qq_ttbar_bkg_hadronic
8.4716e-01 ± 3.7604e-02,8.4716e-01 ± 3.7604e-02,8.4716e-01 ± 3.7604e-02,8.030e-01 ± 1.296e-01,5.2994e-01 ± 3.6701e-02,3.1121e-01 ± 2.2140e-02,1.7912e-01 ± 2.1852e-02,5.7152e-02 ± 9.4089e-03,1.1741e-02 ± 3.4656e-03,1.024e-03 ± 1.402e-03,BKG:qqbar_Wj_hadronic
3.9025e-02 ± 1.1484e-03,3.9025e-02 ± 1.1484e-03,3.9025e-02 ± 1.1484e-03,3.5205e-02 ± 8.0581e-03,1.53749e-02 ± 5.41572e-04,5.2576e-03 ± 2.6102e-04,1.8785e-03 ± 2.0565e-04,2.7891e-04 ± 5.4756e-05,4.571e-05 ± 3.616e-05,4.59e-06 ± 1.03e-05,BKG:qqbar_bbbar
2.83857e-02 ± 3.72445e-04,2.83857e-02 ± 3.72445e-04,2.83857e-02 ± 3.72445e-04,2.5565e-02 ± 6.3290e-03,9.7779e-03 ± 7.2419e-04,3.0528e-03 ± 1.9335e-04,1.0219e-03 ± 1.9237e-04,1.2780e-04 ± 4.7380e-05,4.56e-06 ± 1.02e-05,0.000e+00 ± 0.000e+00,BKG:qqbar_ccbar
2.5511e+00 ± 9.9606e-01,2.5511e+00 ± 9.9606e-01,2.5511e+00 ± 9.9606e-01,2.206e+00 ± 1.247e+00,1.1889e+00 ± 7.8020e-01,5.103e-01 ± 3.684e-01,3.397e-01 ± 3.676e-01,5.64e-02 ± 1.26e-01,5.64e-02 ± 1.26e-01,0.000e+00 ± 0.000e+00,BKG:qqbar_gg
5.7717e-02 ± 1.9625e-03,5.7717e-02 ± 1.9625e-03,5.7717e-02 ± 1.9625e-03,5.071e-02 ± 1.474e-02,1.55312e-02 ± 7.07727e-04,4.0971e-03 ± 3.9949e-04,1.3532e-03 ± 2.3936e-04,8.218e-05 ± 7.502e-05,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:qqbar_qqbarNew
1.1563041e+01 ± 2.6363383e-03,1.1563041e+01 ± 2.6363383e-03,1.1563041e+01 ± 2.6363383e-03,1.1558289e+01 ± 9.3163595e-03,1.1519814e+01 ± 8.0770425e-03,1.1357568e+01 ± 2.7970094e-03,1.102937e+01 ± 2.045138e-02,9.69698e+00 ± 2.88721e-02,6.66611e+00 ± 3.19629e-02,2.6743e+00 ± 4.0366e-01,SIG:Suu
8.876e+00 ± 1.275e+00,8.876e+00 ± 1.275e+00,8.876e+00 ± 1.275e+00,7.706e+00 ± 3.204e+00,2.3382e+00 ± 8.3986e-01,1.0077e+00 ± 3.7094e-01,6.118e-01 ± 3.493e-01,1.413e-01 ± 1.245e-01,7.25e-02 ± 1.28e-01,1.460e-03 ± 1.528e-03,BKG:sum
1.3223e+00 ± 1.7166e-01,1.3223e+00 ± 1.7166e-01,1.3223e+00 ± 1.7166e-01,1.999e+00 ± 1.566e+00,5.345e+00 ± 1.488e+00,1.3033e+01 ± 6.2440e+00,2.385e+01 ± 1.345e+01,9.610e+01 ± 3.914e+01,3.753e+02 ± 2.250e+02,5.602e+03 ± 5.226e+03,S/B
