0.2,0.5,0.8,0.9,0.925,0.95,0.96,0.97,0.98,0.99,Process
2.83634e-05 ± 8.51472e-07,2.83634e-05 ± 8.51472e-07,2.83634e-05 ± 8.51472e-07,2.6316e-05 ± 4.9890e-06,1.42624e-05 ± 7.93907e-07,7.1572e-06 ± 3.8978e-07,3.9430e-06 ± 2.1338e-07,1.2045e-06 ± 1.9522e-07,2.6539e-07 ± 7.7177e-08,3.5685e-08 ± 8.9198e-09,BKG:ff_HW
2.64062e-05 ± 7.28437e-07,2.64062e-05 ± 7.28437e-07,2.64062e-05 ± 7.28437e-07,2.4414e-05 ± 4.1505e-06,1.35317e-05 ± 6.07702e-07,6.7342e-06 ± 2.4554e-07,3.6228e-06 ± 2.5164e-07,1.1125e-06 ± 1.1826e-07,2.8227e-07 ± 6.4089e-08,4.597e-08 ± 1.385e-08,BKG:ff_HZ
1.8273e+00 ± 1.8690e-01,1.8273e+00 ± 1.8690e-01,1.8273e+00 ± 1.8690e-01,1.5158e+00 ± 7.3246e-01,1.0228e-01 ± 4.6940e-02,2.632e-03 ± 5.886e-03,2.632e-03 ± 5.886e-03,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff
2.6580e+00 ± 3.7965e-01,2.6580e+00 ± 3.7965e-01,2.6580e+00 ± 3.7965e-01,2.288e+00 ± 1.158e+00,1.1652e-01 ± 7.7210e-02,5.04e-03 ± 1.13e-02,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:ff_Hff2
1.081850e-01 ± 5.986652e-04,1.081850e-01 ± 5.986652e-04,1.081850e-01 ± 5.986652e-04,1.0352e-01 ± 1.0290e-02,7.4748e-02 ± 1.2867e-03,4.5891e-02 ± 1.1507e-03,2.75661e-02 ± 6.62271e-04,9.8579e-03 ± 1.5944e-04,2.4303e-03 ± 2.4082e-04,3.748e-04 ± 1.993e-04,BKG:ff_WW_bkg
3.4595e-03 ± 1.1748e-04,3.4595e-03 ± 1.1748e-04,3.4595e-03 ± 1.1748e-04,3.1111e-03 ± 7.8380e-04,1.21432e-03 ± 8.50735e-05,4.2476e-04 ± 6.0210e-05,1.7274e-04 ± 3.8562e-05,2.9684e-05 ± 9.8885e-06,5.237e-06 ± 4.782e-06,0.000e+00 ± 0.000e+00,BKG:ff_ZW_bkg
3.02208e-03 ± 9.03804e-05,3.02208e-03 ± 9.03804e-05,3.02208e-03 ± 9.03804e-05,2.8290e-03 ± 4.3588e-04,1.65212e-03 ± 4.97487e-05,9.4612e-04 ± 5.7782e-05,5.2932e-04 ± 3.1996e-05,1.7416e-04 ± 1.9086e-05,3.433e-05 ± 1.066e-05,5.564e-06 ± 3.525e-06,BKG:ff_gmZgmZ_bkg
1.10143e-02 ± 4.55652e-04,1.10143e-02 ± 4.55652e-04,1.10143e-02 ± 4.55652e-04,1.0385e-02 ± 1.6692e-03,6.8658e-03 ± 4.8047e-04,3.9442e-03 ± 3.7445e-04,2.2039e-03 ± 3.2379e-04,7.482e-04 ± 1.333e-04,1.6692e-04 ± 5.2444e-05,4.963e-05 ± 1.895e-05,BKG:ffbar_Wgm
7.249e-03 ± 2.133e-03,7.249e-03 ± 2.133e-03,7.249e-03 ± 2.133e-03,6.098e-03 ± 2.577e-03,1.6021e-03 ± 3.1571e-04,5.325e-04 ± 4.319e-04,1.517e-04 ± 3.393e-04,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,BKG:gg_Hg
1.05676e-03 ± 1.01733e-05,1.05676e-03 ± 1.01733e-05,1.05676e-03 ± 1.01733e-05,9.876e-04 ± 1.502e-04,5.50365e-04 ± 8.23273e-06,2.33331e-04 ± 9.17176e-06,9.7565e-05 ± 3.8438e-06,1.5011e-05 ± 1.9329e-06,1.4960e-06 ± 6.6120e-07,1.222e-07 ± 1.277e-07,BKG:gg_Httbar
