M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.00,3.249467,4.232562,5.654363,8.147076,11.922920,17.183409
7.25,3.249467,4.232562,5.654363,8.147076,11.922920,17.183409
7.50,3.251373,3.197994,4.330309,6.284863,9.301782,13.554929
7.75,3.210741,3.244244,4.436558,6.415167,9.575163,13.972876
8.00,3.069298,2.855994,3.988082,5.927826,9.023952,13.411637
8.25,3.139706,2.251610,3.192591,4.834343,7.537400,11.466369
8.50,3.246739,1.789032,2.590045,4.007958,6.417287,10.018886
8.75,3.428591,1.423512,2.107340,3.354342,5.541210,8.899476
