M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,192.6667,0.1213866,5.2505,0.80617
7.25,125.2652,0.2057766,4.571,1.034
7.5,80.3693,0.123745,2.0163,0.77103
7.75,51.01893,0.02260058,1.0256,0.37334
8.0,31.82441,0.02192672,0.6327,0.1153
8.25,19.41769,0.02186566,0.4032,0.1603
8.5,11.610908,0.009509343,0.13191,0.050457
8.75,6.857664,0.00728723,0.09625,0.0283
9.0,3.935929,0.005030751,0.04892,0.02866
9.25,2.203771,0.001503202,0.02832,0.0117
9.5,1.19713,0.001461186,0.013699,0.0049939
9.75,0.6293817,0.0004426823,0.006182,0.003251
