M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,196.12854,0.098536861,11.9685,0.704424
7.25,127.49651,0.062596346,8.2158,0.57644
7.5,81.64115,0.04160555,4.33,1.339
7.75,51.76731,0.02611854,2.4103,0.90139
8.0,32.25944,0.01304606,1.624,0.31339
8.25,19.676059,0.0078000568,0.8844,0.2012
8.5,11.757946,0.0088214053,0.3555,0.102
8.75,6.938155,0.002047022,0.20647,0.045729
9.0,3.981949,0.002329535,0.10903,0.031891
9.25,2.2263239,0.00090994842,0.05626,0.01576
9.5,1.2112198,0.00032004063,0.044977,0.0094368
9.75,0.6368123,0.000234866,0.021239,0.0039002
