M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.0,196.543,0.105228,17.301,1.4406
7.25,127.76597,0.054512878,11.409,1.2176
7.5,81.80127,0.03302313,6.022,1.345
7.75,51.89134,0.0375637,4.837,3.473
8.0,32.31759,0.0084719589,2.2013,0.43286
8.25,19.755495,0.0033971069,3.4174,0.4413
8.5,11.808346,0.0054211596,1.6556,0.17157
8.75,6.965759,0.002634733,0.95296,0.071798
9.0,3.997209,0.00122445,0.57996,0.077252
9.25,2.2357342,0.00044236973,0.28493,0.044455
9.5,1.2134983,0.00035381182,0.16703,0.0074674
9.75,0.63790351,6.0757977e-05,0.087117,0.0045657
