M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.50,3.071793,3.279816,4.557320,6.705115,10.082768,14.793171
7.75,3.072052,2.976147,4.166992,6.162786,9.345897,13.829914
8.00,3.180383,2.072786,2.963108,4.511960,7.092081,10.884565
8.25,3.236647,1.880873,2.708608,4.165552,6.622044,10.275758
