M_S,p_value
7.00,1.30000e-07
7.25,4.13300e-05
7.50,4.70405e-02
7.75,6.44629e-02
8.00,4.41224e-02
8.25,8.68069e-02
8.50,1.34641e-01
8.75,1.90303e-01
