M_S,SIG,SIGMA_SIG,BKG,SIGMA_BKG
7.5,9.900973,0.007519596,2.3773,0.7569
7.75,6.280789,0.004897378,1.2954,0.40025
8.0,3.896753,0.004291264,0.6626,0.2726
8.25,2.3898743,0.00094375969,0.3924,0.1223
