M_S,p_value
7.00,7.74000e-05
7.25,1.22860e-03
7.50,5.29590e-03
7.75,1.75638e-02
8.00,5.23709e-02
8.25,8.69865e-02
8.50,1.30542e-01
8.75,1.72433e-01
