M_S,p_value
7.00,0.00000e+00
7.25,0.00000e+00
7.50,0.00000e+00
7.75,0.00000e+00
8.00,0.00000e+00
8.25,4.00000e-07
8.50,6.52000e-05
8.75,1.61330e-03
