M_S,p_value
7.00,1.79000e-05
7.25,6.78600e-04
7.50,3.96460e-03
7.75,1.49175e-02
8.00,4.10298e-02
8.25,8.50753e-02
8.50,1.23526e-01
8.75,1.55988e-01
