M_S,obs_med,sig2_lo,sig1_lo,exp_med,sig1_hi,sig2_hi
7.50,3.092492,2.817846,3.926341,5.811210,8.844530,13.157789
7.75,3.145435,2.250230,3.196540,4.831435,7.523995,11.446480
8.00,3.292809,1.748837,2.531258,3.917579,6.283613,9.838723
8.25,3.424111,1.499588,2.200451,3.477153,5.695655,9.087935
